word,score,wordCount,NN_Rank
burdens,6.227685,2,183
bundle,6.2109594,3,184
blissful,6.2099013,4,185
glorious,6.2048135,3,186
telly,6.185718,1,187
cider,6.182389,2,188
bubblebath,6.174342,1,189
365,6.1680846,1,190
loving,6.1669493,57,191
bathing,6.16648,2,192
majesty,6.166281,1,193
calming,6.1610284,4,194
contagious,6.16002,3,195
delightful,6.1556606,2,196
aprons,6.147159,1,197
northbound,6.144814,2,198
3ish,6.1423197,1,199
labour,6.1184874,3,200
babysat,6.1113677,2,201
bonding,6.110562,3,202
eloquently,6.1102467,1,203
lewisham,6.109308,1,204
magnificat,6.0904512,2,205
harmonies,6.0893097,1,206
centred,6.087222,1,207
babysitting,6.0870686,16,208
trattoria,6.0859942,1,209
colour,6.071392,6,210
rainbows,6.066053,1,211
sore,6.065976,27,212
glow,6.0630107,4,213
satsang,6.050206,2,214
dissertation,6.045913,4,215
fill,6.028152,38,216
puddles,6.0258,4,217
merriment,6.0235,2,218
eternally,6.0234833,2,219
boundless,6.0215564,1,220
queues,6.020687,1,221
sharing,6.0090175,30,222
thankful,6.0084934,62,223
errands,5.980533,4,224
graft,5.977746,1,225
ironing,5.9769425,3,226
energies,5.970631,2,227
gables,5.963296,1,228
resume,5.9556246,3,229
wherever,5.9539557,5,230
carefree,5.949175,1,231
anointed,5.9483037,1,232
biscuits,5.9449697,6,233
bright,5.9434056,33,234
tomorrrow,5.9426966,4,235
cuppa,5.940812,5,236
glee,5.9404674,8,237
euston,5.9325094,1,238
soulful,5.9293256,2,239
rejoiced,5.925083,1,240
gladly,5.907375,3,241
invigorating,5.8986754,1,242
multicultural,5.8949895,1,243
commute,5.891022,7,244
relief,5.8884325,13,245
flowing,5.866327,5,246
xox,5.851149,2,247
honored,5.850548,1,248
fulfillment,5.8285093,1,249
interviewing,5.826172,2,250
hoses,5.8184576,1,251
season-,5.813105,2,252
xeroxing,5.8101845,2,253
porkchops,5.80931,4,254
positively,5.8057384,3,255
fountain,5.804318,2,256
egoless,5.8023663,2,257
thanking,5.797909,1,258
inspirational,5.7962327,7,259
newsnight,5.791085,2,260
8.30,5.790324,1,261
westbound,5.7891936,1,262
nanny,5.7816186,2,263
7.50am,5.7788205,1,264
pastor,5.7750425,4,265
swolen,5.772582,1,266
behar,5.772229,4,267
lamps,5.771056,1,268
fountains,5.7709107,3,269
twinkling,5.770772,1,270
icicles,5.7592993,1,271
rededicated,5.7571836,2,272
xrays,5.7438293,1,273
diffusion,5.742065,2,274
stoplights,5.741705,1,275
pasko,5.738119,1,276
cornet,5.7375555,1,277
chanukah,5.7369785,3,278
-at,5.7290173,1,279
crystals,5.7176895,1,280
week-,5.710187,1,281
arbutus,5.7001224,1,282
sdlc,5.6976094,1,283
wonderful,5.6720076,96,284
stanza,5.670996,1,285
thelife,5.661905,2,286
candlelighting,5.6549516,1,287
helper,5.6547813,2,288
silliness,5.648244,1,289
vue,5.647697,1,290
tonia,5.647414,1,291
festive,5.6437483,3,292
amen,5.6392007,20,293
microeconomics,5.635123,1,294
phonecalls,5.6344037,1,295
georgian,5.634041,2,296
brandy,5.6162,1,297
unltd,5.6047673,1,298
assist,5.6038485,1,299
communion,5.600555,4,300
massagers,5.599628,1,301
giver,5.59878,2,302
encouragement,5.5923734,2,303
favourited,5.583,2,304
orthodontist,5.5770736,4,305
glowing,5.570756,1,306
gibran,5.569714,1,307
mhy,5.560215,2,308
plumber,5.558588,2,309
6.30,5.5517335,1,310
powerfully,5.549147,2,311
2-page,5.5469704,1,312
beam,5.5452394,2,313
upanishads,5.526835,2,314
unify,5.519451,2,315
interzone,5.5175047,1,316
15am,5.4987755,1,317
nannies,5.494687,1,318
bool,5.490572,2,319
pleasing,5.478915,1,320
advent,5.477219,41,321
pinkeye,5.4673696,3,322
microbiology,5.456401,3,323
soaking,5.4461365,1,324
chiropractor,5.4391136,2,325
behappy,5.438863,1,326
faithfulness,5.438496,9,327
immanuel,5.4360027,3,328
mornings,5.4251175,9,329
connections,5.422344,3,330
colours,5.422295,1,331
waffle,5.4154468,2,332
wisdom,5.413229,41,333
queue,5.39643,5,334
godson,5.394983,2,335
chores,5.392599,2,336
fullfillment,5.3860154,2,337
sherry,5.3843174,1,338
chatting,5.3754425,1,339
trains,5.370665,9,340
thank,5.3673134,118,341
restored,5.3661633,1,342
skiing,5.3651733,2,343
connect,5.3603015,11,344
pear,5.358933,4,345
gracefulness,5.3568954,1,346
collaborate,5.355515,2,347
mylo,5.349451,2,348
strep,5.3396883,2,349
dozing,5.336743,2,350
expressive,5.3315163,1,351
relaxing,5.3295507,10,352
kindness,5.328552,16,353
cocktails,5.3180556,1,354
ucas,5.315048,2,355
coloured,5.314448,2,356
clapping,5.311601,1,357
squees,5.295701,1,358
rom,5.2869186,2,359
carole,5.2867303,1,360
giddy,5.285896,2,361
laundering,5.2844844,1,362
talents,5.2792935,6,363
familiarise,5.2768803,1,364
grafter,5.267862,2,365
neck-,5.2615714,1,366
tutored,5.2474947,1,367
knitting,5.2461886,2,368
lovingly,5.235574,1,369
bundling,5.234561,2,370
train,5.2227,50,371
cocoa,5.216745,9,372
firedrill,5.215668,1,373
transcends,5.2148113,3,374
lykke,5.2105665,1,375
carpe,5.208666,1,376
brighter,5.204684,4,377
rhema,5.1870713,1,378
freeing,5.186385,1,379
workmen,5.1860447,3,380
workig,5.176048,2,381
hauling,5.1724277,3,382
arch,5.165328,2,383
comedown,5.1602325,1,384
purity,5.1515937,2,385
sista,5.1505156,1,386
bolognaise,5.147419,2,387
rainboots,5.143843,1,388
plumbing,5.1335077,1,389
simplifying,5.133451,1,390
nght,5.1260066,1,391
swelling,5.113931,3,392
sprinkle,5.1067457,1,393
lively,5.1018734,4,394
massage,5.1018023,6,395
letterbox,5.0981455,1,396
thoroughly,5.094919,1,397
mutually,5.080759,1,398
blooming,5.075564,1,399
praised,5.0755596,1,400
sausages,5.0721154,1,401
motherhood,5.06563,4,402
softness,5.065077,2,403
appointment,5.061698,17,404
tabi,5.0540576,1,405
supper,5.0491014,3,406
booklets,5.0476213,1,407
gleefully,5.043157,1,408
gentleness,5.033469,2,409
theology,5.0329695,1,410
effortless,5.028931,1,411
creed,5.025082,3,412
flourish,5.0219803,3,413
spinet,5.0189233,1,414
philosophy,5.0134625,4,415
preach,5.0050206,2,416
aload,4.999908,1,417
virtues,4.999352,1,418
pedis,4.9940195,1,419
greatful,4.993413,2,420
relax,4.9843035,34,421
wonders,4.978564,4,422
laugh,4.9704566,59,423
preaching,4.969017,4,424
paperwork,4.968638,2,425
starry,4.967438,4,426
unwind,4.9529495,1,427
spurt,4.951897,1,428
giggling,4.94114,3,429
laughing,4.9379506,23,430
preciate,4.9374065,1,431
jazzman,4.9344296,1,432
chapter,4.9343305,9,433
rebooked,4.9334188,1,434
sprinkles,4.9323974,1,435
centering,4.9291935,1,436
jewel,4.924552,2,437
crown,4.9238276,9,438
heaping,4.9232335,1,439
roofing,4.921821,1,440
carvery,4.9077106,1,441
10.30pm,4.905058,2,442
cst,4.9036136,4,443
choir,4.902478,11,444
spirit,4.898576,77,445
miracle,4.897829,8,446
rhythm,4.8930836,1,447
inspiring,4.8865643,5,448
essence,4.8858113,4,449
light,4.8835297,77,450
prac,4.8796253,3,451
absorbed,4.875335,1,452
duetting,4.8722606,1,453
lotus,4.869714,2,454
copious,4.8637357,1,455
camis,4.8619366,1,456
wondrful,4.8540187,4,457
ceremonials,4.8516116,1,458
cramming,4.8418117,1,459
weaving,4.834577,1,460
reindeer,4.829583,3,461
stump,4.829241,1,462
cosy,4.8208327,3,463
5ish,4.8162694,1,464
cantata,4.8156548,2,465
paediatric,4.8153033,1,466
lend,4.814903,1,467
devotion,4.813753,1,468
bath,4.813631,32,469
shaped,4.8091054,2,470
networking,4.8076425,3,471
unbeaten,4.8035502,1,472
16hrs,4.8010573,3,473
enjoying,4.7961183,25,474
gin,4.7868795,4,475
joni,4.785997,1,476
1400th,4.7847123,1,477
mindful,4.7823825,4,478
corinthians,4.777825,2,479
volunteering,4.7725267,3,480
port,4.7691054,2,481
pye,4.759363,1,482
10hrs,4.7571707,1,483
chez,4.755434,1,484
bubbly,4.754751,2,485
bodyshop,4.749696,3,486
unionised,4.749462,3,487
wonderfully,4.7485223,1,488
classics,4.744895,2,489
essays,4.7375493,18,490
share,4.7363048,33,491
stroppy,4.7350616,1,492
adore,4.7344775,5,493
qed,4.734359,1,494
restarted,4.7278595,1,495
melodies,4.727587,1,496
eph,4.7265453,1,497
celebrates,4.7224026,2,498
honeysuckle,4.7216744,1,499
overflow,4.717212,2,500
benefits,4.713357,7,501
0800,4.713196,1,502
heavenly,4.7128425,5,503
dopeness,4.7086205,3,504
beautifully,4.707576,2,505
supreme,4.706699,3,506
railway,4.706641,1,507
stylebook,4.70573,1,508
boxing,4.701453,2,509
sweetest,4.699984,3,510
wheeze,4.6977115,1,511
5a.m,4.696627,1,512
various,4.693637,2,513
decorating,4.69177,28,514
appointed,4.6914406,1,515
cuddles,4.6903343,4,516
believer,4.6903,4,517
bulbs,4.6836734,3,518
digestives,4.680432,2,519
sociology,4.6755896,10,520
snuggle,4.674898,4,521
convergence,4.67001,2,522
trinity,4.669596,2,523
overjoyed,4.6632657,1,524
babysit,4.6605597,6,525
breeze,4.6588936,7,526
junction,4.6577725,1,527
thesis,4.6575146,9,528
2year,4.6568966,1,529
connecting,4.654123,4,530
sorbet,4.6517587,1,531
brrrrrrr,4.6499286,2,532
waitrose,4.648855,3,533
absoulute,4.647264,1,534
mageweave,4.6444936,3,535
singing,4.641232,68,536
ferry,4.6358514,3,537
electron,4.634005,4,538
psalms,4.6320853,3,539
tutoring,4.631798,2,540
fullest,4.629514,2,541
wharf,4.6290216,2,542
4x4s,4.627625,1,543
flava,4.6218247,1,544
reap,4.617029,3,545
sledge,4.613365,2,546
40mins,4.6133623,1,547
tidings,4.6124806,1,548
piccadilly,4.612445,1,549
jabs,4.609937,2,550
mitt,4.608874,1,551
finit,4.6052575,1,552
mucking,4.5997753,1,553
degrees,4.59804,6,554
franska,4.5952964,1,555
dispatcher,4.594715,1,556
pleased,4.5936685,8,557
productive,4.5853424,19,558
antiwrinkle,4.584352,1,559
graced,4.5812974,1,560
aroma,4.579541,3,561
herald,4.5782776,1,562
romp,4.5746245,1,563
funtimes,4.5728693,2,564
rainbow,4.5708075,3,565
infusion,4.5692444,1,566
freshcut,4.568682,1,567
brow,4.5671206,2,568
squeeze,4.5611835,2,569
jammie,4.56049,2,570
sweetly,4.557434,1,571
happydays,4.5535083,1,572
satisfaction,4.5528207,3,573
3years,4.549876,1,574
endlessly,4.5494633,1,575
reinforce,4.547749,1,576
buses,4.5464754,4,577
scriptures,4.5333676,1,578
crowned,4.532952,1,579
healed,4.532333,3,580
happily,4.528615,2,581
spreading,4.526511,5,582
numerous,4.5244284,1,583
blistered,4.523583,1,584
fabby,4.5226245,3,585
pride,4.521948,17,586
overflowing,4.521787,3,587
stick-,4.513808,1,588
cheer,4.511029,31,589
taxis,4.5095444,1,590
heartbeat,4.507986,1,591
motorway,4.507503,1,592
fonts,4.497382,1,593
thich,4.4966326,3,594
precious,4.4933615,9,595
flapjack,4.490284,2,596
kickboxing,4.4883575,1,597
testimony,4.4853325,2,598
lamp,4.480447,2,599
loads,4.4754047,16,600
ports,4.473556,1,601
appt,4.4723597,6,602
pj,4.4718404,3,603
clarity,4.468372,2,604
giggles,4.466674,2,605
reconnect,4.465783,1,606
centered,4.4641256,3,607
grin,4.4630513,6,608
kermit,4.460578,2,609
jive,4.460093,1,610
abound,4.4575853,5,611
kahlil,4.4543433,1,612
rime,4.4527636,1,613
boud,4.4522223,1,614
untangling,4.451011,2,615
cathedral,4.4490647,2,616
champs,4.448129,1,617
everlast,4.4478526,1,618
morden,4.447155,1,619
embrace,4.446795,11,620
teachings,4.446126,1,621
p.m.,4.4423556,4,622
integrate,4.442007,3,623
chillaxing,4.4415402,1,624
girlies,4.4394345,2,625
toffee,4.4375663,1,626
excellence,4.432869,3,627
sainsburys,4.4314537,2,628
anisa,4.431184,4,629
reggae,4.4260564,1,630
toddler,4.426018,3,631
energy,4.425504,25,632
leafing,4.4229364,3,633
tec,4.418928,2,634
clarify,4.4188085,1,635
hub,4.4186187,1,636
2c,4.4165587,1,637
parenting,4.415657,1,638
crimbo,4.4144473,3,639
programme,4.4135695,5,640
eliot,4.409182,1,641
econ,4.4048586,9,642
coloring,4.401241,1,643
wallpapers,4.398608,1,644
denist,4.396385,1,645
timetable,4.387116,6,646
sermon,4.3856854,7,647
lsat,4.3852215,1,648
freeeeezing,4.382851,1,649
muddle,4.380213,1,650
arne,4.378047,1,651
netball,4.3747053,2,652
coo,4.3735237,5,653
candidates,4.3732533,1,654
sundry,4.3717775,1,655
leccy,4.3708644,1,656
qp,4.3695793,1,657
cappuccino,4.368085,1,658
paperback,4.368073,1,659
94.9,4.362449,1,660
dislocated,4.3563013,1,661
salvation,4.3533506,7,662
tesco,4.3475947,4,663
cuddling,4.3456254,2,664
fireman,4.344092,1,665
kidz,4.342663,1,666
quietness,4.342267,6,667
comfort,4.342025,11,668
freezing,4.3379626,20,669
crossword,4.336313,1,670
blister,4.3345013,1,671
carpenter,4.330175,3,672
wonderment,4.3287516,1,673
cheek,4.3276887,4,674
converse,4.3233786,1,675
worthiness,4.3191395,1,676
hoovering,4.3178368,2,677
rememberthat,4.314975,1,678
giggle,4.3131113,6,679
4o,4.3084955,1,680
arthritis,4.307872,1,681
pier,4.306295,1,682
ofsted,4.305656,1,683
pudding,4.304946,4,684
linee,4.304373,1,685
elevate,4.303945,1,686
productivity,4.301107,2,687
filling,4.301072,16,688
4yrs,4.300292,1,689
6000,4.299407,2,690
elliptical,4.2990584,1,691
cherub,4.298405,1,692
meditation,4.291646,2,693
encouraging,4.2910657,2,694
deliverance,4.2850494,1,695
fruits,4.2834997,5,696
groc,4.2829156,1,697
treas,4.2803593,1,698
procrastinator,4.2793508,1,699
cookery,4.268646,1,700
clock,4.2655115,9,701
deadlines,4.26476,1,702
tele,4.264602,3,703
shortbread,4.2634697,1,704
promises-,4.2610044,2,705
apply,4.259075,5,706
congestion,4.258124,5,707
lifeskills,4.258121,1,708
cram,4.2573767,1,709
resurrection,4.257232,3,710
rickey,4.2497406,2,711
neighbours,4.2494955,6,712
alongside,4.2489014,2,713
stalactites,4.2459097,1,714
accomplished,4.245749,8,715
flue,4.2430353,1,716
¥happy,4.2409945,1,717
crane,4.239198,1,718
sipping,4.2378464,3,719
refreshing,4.235875,2,720
warm,4.23497,28,721
circle,4.234511,3,722
¥,4.232853,45,723
loooong,4.231002,1,724
chitterlings,4.227313,1,725
1.50,4.2272477,1,726
freeview,4.226331,2,727
sphere,4.2241135,2,728
cheering,4.2227416,3,729
boozers,4.213897,3,730
discover,4.2132044,10,731
nip,4.208489,1,732
zen,4.204732,1,733
proudly,4.204681,2,734
lottie,4.200694,1,735
loadsa,4.198001,1,736
busiest,4.1979265,2,737
consultant,4.1962767,1,738
scripture,4.192045,7,739
ms,4.1874866,6,740
deliverer,4.184999,1,741
channeling,4.1821427,2,742
arrangement,4.1808534,1,743
lifts,4.180427,5,744
tout,4.178551,2,745
truest,4.1753163,4,746
contortionist,4.1726847,1,747
fatherhood,4.166798,1,748
a.m.,4.1652293,13,749
chorus,4.162341,6,750
m25,4.160874,3,751
sage,4.158494,1,752
throughout,4.158209,4,753
sleeting,4.157423,1,754
goalscorer,4.156158,1,755
p.,4.1549687,2,756
creativity,4.1532383,2,757
cups,4.149526,6,758
aqua,4.1452236,1,759
exchange,4.144631,3,760
finest,4.142922,2,761
honourary,4.142353,2,762
geometry,4.140905,7,763
deepak,4.139483,2,764
oncology,4.1376867,2,765
-one,4.136981,2,766
patter,4.136051,1,767
crystal,4.135562,7,768
yogas,4.1323605,2,769
sleet,4.1290765,1,770
services,4.128508,4,771
sorting,4.1279316,2,772
calmness,4.127756,6,773
puddle,4.1266317,8,774
fab,4.126188,8,775
6am-11pm,4.1251755,1,776
hebrews,4.1248655,2,777
fbc,4.123326,1,778
spiritually,4.1175966,4,779
3hrs,4.1164193,1,780
notecards,4.1161757,3,781
golden,4.1145935,6,782
carol,4.1094875,6,783
enthusiasm,4.107781,5,784
unburden,4.107656,1,785
ocado,4.1072397,2,786
day3,4.104132,2,787
therapeutically,4.1016216,3,788
cooking,4.1007104,24,789
outline,4.0987763,2,790
sinus,4.0974317,7,791
insightfulness,4.093944,1,792
glorify,4.0902157,3,793
overground,4.088647,1,794
renewing,4.0885553,1,795
spirt,4.0883775,1,796
freeeezing,4.0826893,1,797
champ,4.0819087,3,798
worship,4.081759,11,799
whizzed,4.08014,2,800
radiated,4.07966,3,801
mango,4.079277,4,802
diem,4.0752697,1,803
kernels,4.0748873,1,804
4all,4.0744243,1,805
12hr,4.0737686,3,806
writting,4.070967,1,807
hairdressers,4.0643225,1,808
blackberry,4.0619435,9,809
ode,4.061553,1,810
underpass,4.0602202,1,811
relaxed,4.059132,5,812
everybodies,4.0557203,1,813
dynamo,4.0556436,1,814
widen,4.0524445,1,815
kohl,4.0459714,1,816
webwork,4.041653,2,817
transport,4.0391393,4,818
8am-8pm,4.039017,1,819
heating,4.038372,8,820
helping,4.037553,20,821
cramps,4.0366826,2,822
sirloin,4.0358853,1,823
relieved,4.033692,2,824
groovy,4.0321755,1,825
hotchocolate,4.0305133,1,826
simples,4.0302057,1,827
church,4.0298624,53,828
overtime,4.022984,1,829
accomplishment,4.0195794,1,830
piazzale,4.0154176,3,831
paragraphs,4.015127,1,832
mentor,4.003105,3,833
principles,4.0019345,7,834
amazed,4.0014796,4,835
7-page,4.0006366,1,836
reset,3.9981709,2,837
favourite,3.9967618,18,838
sweetness,3.9964623,1,839
lasagne,3.9960566,3,840
day-,3.9926147,1,841
intersection,3.9900012,1,842
economics,3.985351,3,843
applications,3.9830189,2,844
steaming,3.9825444,1,845
preachings,3.9823356,3,846
nippley,3.98104,1,847
embodies,3.9803524,1,848
nodding,3.978952,1,849
connection,3.978191,6,850
gopher,3.976878,2,851
encouraged,3.9767635,1,852
typing,3.9725235,6,853
sincerely,3.969604,4,854
jah,3.964908,1,855
scrum,3.962643,1,856
genus,3.9620528,1,857
mums,3.9602845,5,858
psalm,3.959176,16,859
daybreak,3.9575162,1,860
tub,3.9431553,5,861
monumental,3.9388893,1,862
pour,3.9375372,5,863
celebrations,3.937278,2,864
travelogues,3.9365835,2,865
sorrows,3.9364686,3,866
rumi,3.9343302,1,867
helpful,3.93197,3,868
ª,3.9271982,2,869
happy,3.9233918,407,870
stumble,3.9196048,3,871
unity,3.918253,2,872
soul,3.9119582,44,873
tunnel,3.9111717,1,874
11.30,3.9102783,1,875
doubly,3.900194,2,876
chapters,3.8995261,8,877
life-,3.8986914,1,878
serotonin,3.8981824,1,879
hr,3.8957138,8,880
joint,3.8947306,2,881
preacher,3.8940382,2,882
cairo,3.8896627,1,883
flashcards,3.88791,1,884
aahhhhh,3.8869138,1,885
bells,3.8864894,5,886
mumia,3.8842504,2,887
gently,3.8839853,1,888
dalmatians,3.883694,2,889
vespers,3.8836098,1,890
olly,3.88335,1,891
presentations,3.8826454,2,892
soloist,3.8825238,2,893
highness,3.8806832,1,894
brrrrrr,3.8782945,1,895
gingerbread,3.8743632,4,896
bedtime,3.8705175,7,897
immaculate,3.8691337,5,898
latte,3.8675506,6,899
meditate,3.8598948,2,900
sorted,3.8530211,10,901
mould,3.8509045,2,902
jumper,3.8488872,3,903
pints,3.8448448,1,904
pals,3.843578,6,905
onwards,3.8411977,1,906
ahhhhh,3.8379345,6,907
silliest,3.8371782,1,908
chats,3.8349051,1,909
love,3.83086,1235,910
wakeup,3.8292887,5,911
centres,3.8264678,1,912
grading,3.8257093,2,913
brotherhood,3.8252401,2,914
spirituality,3.822653,4,915
signalling,3.8215754,2,916
clap,3.8178024,1,917
naps,3.8177373,6,918
knees,3.8171496,4,919
providing,3.8169436,3,920
bracknell,3.816652,1,921
fondation,3.8149302,1,922
glorified,3.8144035,1,923
greatly,3.812802,5,924
braces,3.8096788,3,925
trimmings,3.8093576,1,926
phones,3.8077974,7,927
sing,3.8034718,54,928
unpack,3.8024955,3,929
reigns,3.8015628,4,930
tescos,3.8012989,4,931
go2,3.8012404,1,932
jel,3.8005614,1,933
hippopotamus,3.7996573,3,934
healthful,3.7988176,2,935
serving,3.7954693,13,936
pure,3.7944717,66,937
sewing,3.7932863,10,938
teaming,3.7921548,1,939
humbug,3.7853775,2,940
jazzy,3.7825484,4,941
emphasize,3.7802389,1,942
genealogy,3.7791877,1,943
bargains,3.777486,1,944
sidewalks,3.7769904,1,945
provides,3.771977,12,946
wrinkles,3.771775,1,947
comfy,3.7690809,5,948
newborn,3.7677965,2,949
prepare,3.759306,12,950
ee,3.7569866,4,951
contribute,3.7560852,7,952
tickling,3.754225,3,953
snotty,3.7526658,2,954
mighty,3.7520344,2,955
usher,3.7517104,1,956
resurgence,3.7514427,2,957
laundrette,3.7505116,1,958
boyband,3.750016,2,959
hips,3.7498965,3,960
weave,3.7484577,4,961
faves,3.7481534,1,962
slump,3.7475927,1,963
studying,3.747167,91,964
gmt,3.7466657,1,965
champers,3.7448924,1,966
detectives,3.7438877,1,967
naptime,3.740519,1,968
whoop,3.7390757,6,969
mascara,3.738642,2,970
samosas,3.7385175,1,971
bevy,3.7372506,1,972
dancing,3.7351332,29,973
beck,3.7335513,4,974
faithfully,3.7330625,1,975
gangsta,3.7323992,1,976
taiji,3.7319672,2,977
luverly,3.7310967,1,978
mason,3.7274227,2,979
doc,3.7237291,9,980
arrears,3.7221236,1,981
breathe,3.72016,16,982
colorful,3.7198784,3,983
bowls,3.7185845,1,984
humble,3.7184587,5,985
unpacking,3.716871,2,986
eternal,3.7142205,8,987
squeal,3.71099,2,988
foyer,3.7056892,2,989
ethernet,3.705665,3,990
hosp,3.7049334,1,991
witness,3.7042015,5,992
vein,3.7018883,3,993
humility,3.7009127,1,994
napping,3.6996067,1,995
snoozes,3.6993787,1,996
shopping,3.6983042,152,997
packet,3.697788,3,998
bratty,3.6954622,1,999
filled,3.6947503,65,1000
meetings,3.6934063,5,1001
stripes,3.6907535,1,1002
brekky,3.6906059,2,1003
serve,3.6895692,16,1004
hugs,3.682983,6,1005
three,3.680652,58,1006
bosses,3.679614,4,1007
aaahhh,3.679334,1,1008
insomnia,3.6767159,3,1009
rolltide,3.6766033,2,1010
mashed,3.6762462,3,1011
tenner,3.675071,2,1012
crepes,3.6743116,1,1013
outward,3.6732223,2,1014
unload,3.6706223,2,1015
two,3.6698992,190,1016
3yo,3.6675916,2,1017
henri,3.6650636,3,1018
chevron,3.664996,1,1019
quarterbacking,3.6622744,1,1020
rewrite,3.6593862,2,1021
bouncing,3.6543128,5,1022
