,Word,Value,V.Mean.Sum,,1.2 4.6 3.0
957,violate,-4.49E-06,2.61,,
58,shame,-1.08E-05,2.62,,
62,condemn,-1.06E-05,2.62,,
209,insult,-7.90E-06,2.62,,
334,dictatorship,-6.81E-06,2.62,,
1206,fake,-4.01E-06,2.62,,
2974,argument,-1.96E-06,2.62,,
238,abandonment,-7.60E-06,2.63,,
658,threat,-5.30E-06,2.63,,
813,wicked,-4.83E-06,2.63,,
4774,terrifying,5.25E-07,2.63,,
5160,unrest,1.95E-06,2.63,,
167,disappointed,-8.58E-06,2.65,,
627,burial,-5.41E-06,2.65,,
3362,sob,-1.57E-06,2.65,,
662,danger,-5.28E-06,2.66,,
37,unemployed,-1.16E-05,2.67,,
156,overdose,-8.72E-06,2.67,,
378,pest,-6.59E-06,2.67,,
386,prisoner,-6.54E-06,2.67,,
443,destroy,-6.18E-06,2.67,,
653,bully,-5.32E-06,2.67,,
1018,oppression,-4.36E-06,2.67,,
1686,inmate,-3.32E-06,2.67,,
1791,crypt,-3.18E-06,2.67,,
4882,lonely,8.18E-07,2.67,,
25,disgusted,-1.25E-05,2.68,,
118,disturbing,-9.16E-06,2.68,,
268,disturbance,-7.31E-06,2.68,,
749,crack,-5.00E-06,2.68,,
1081,accuse,-4.22E-06,2.68,,
3296,disadvantage,-1.65E-06,2.68,,
218,whore,-7.80E-06,2.7,,
351,catastrophe,-6.73E-06,2.7,,
608,uncomfortable,-5.47E-06,2.7,,
1014,disabled,-4.37E-06,2.7,,
1699,ex,-3.30E-06,2.7,,
492,gang,-5.92E-06,2.71,,
821,violence,-4.79E-06,2.71,,
2105,boring,-2.83E-06,2.71,,
3935,unwanted,-9.29E-07,2.71,,
4419,mold,-1.86E-07,2.71,,
4982,prejudice,1.16E-06,2.71,,
995,emergency,-4.41E-06,2.72,,
1108,suppress,-4.18E-06,2.72,,
2400,embarrassment,-2.52E-06,2.72,,
341,cruel,-6.78E-06,2.73,,
463,deceased,-6.09E-06,2.73,,
426,hostage,-6.25E-06,2.74,,
572,fat,-5.63E-06,2.74,,
801,trash,-4.87E-06,2.74,,
4670,diabetes,2.85E-07,2.74,,
306,revenge,-6.99E-06,2.75,,
633,terror,-5.38E-06,2.75,,
1011,discontent,-4.37E-06,2.75,,
2545,broken,-2.37E-06,2.75,,
2785,stealing,-2.15E-06,2.75,,
362,flood,-6.69E-06,2.76,,
537,punishment,-5.75E-06,2.76,,
2976,anarchist,-1.96E-06,2.76,,
3626,cult,-1.29E-06,2.77,,
258,disappointing,-7.42E-06,2.79,,
714,disappointment,-5.12E-06,2.79,,
1898,prostitution,-3.06E-06,2.79,,
2987,illegitimate,-1.95E-06,2.79,,
3244,wartime,-1.70E-06,2.79,,
4589,drought,1.16E-07,2.79,,
448,useless,-6.16E-06,2.8,,
496,penalty,-5.90E-06,2.8,,
822,hardship,-4.79E-06,2.8,,
1554,blind,-3.48E-06,2.8,,
1681,annoyed,-3.32E-06,2.8,,
3611,scared,-1.31E-06,2.8,,
4749,sore,4.67E-07,2.8,,
40,repression,-1.15E-05,2.81,,
1222,distraught,-3.99E-06,2.81,,
1667,obesity,-3.34E-06,2.81,,
1716,malice,-3.28E-06,2.81,,
1064,shot,-4.26E-06,2.82,,
1526,forbid,-3.52E-06,2.82,,
2821,audit,-2.10E-06,2.82,,
89,stupid,-9.70E-06,2.84,,
221,chaos,-7.72E-06,2.84,,
289,ignorance,-7.17E-06,2.84,,
1004,prohibition,-4.38E-06,2.84,,
1048,quarrel,-4.30E-06,2.84,,
1196,disagree,-4.03E-06,2.84,,
1761,bomber,-3.23E-06,2.84,,
1893,lawsuit,-3.06E-06,2.84,,
2246,unsafe,-2.66E-06,2.84,,
2280,manipulation,-2.64E-06,2.84,,
4814,abandon,6.16E-07,2.84,,
5207,fallout,2.33E-06,2.84,,
905,missile,-4.59E-06,2.85,,
1061,bald,-4.27E-06,2.85,,
1231,degradation,-3.97E-06,2.85,,
286,starving,-7.18E-06,2.86,,
583,punish,-5.60E-06,2.86,,
723,disagreement,-5.09E-06,2.86,,
788,bloody,-4.91E-06,2.86,,
2851,fee,-2.08E-06,2.86,,
154,crushed,-8.74E-06,2.87,,
996,trouble,-4.41E-06,2.87,,
1559,garbage,-3.48E-06,2.88,,
3083,weep,-1.86E-06,2.88,,
38,exploitation,-1.16E-05,2.89,,
336,mistake,-6.81E-06,2.89,,
903,governmental,-4.59E-06,2.89,,
1961,gambling,-2.98E-06,2.89,,
2311,injection,-2.61E-06,2.89,,
3371,addicted,-1.57E-06,2.89,,
63,crash,-1.06E-05,2.9,,
381,hazard,-6.56E-06,2.9,,
703,robber,-5.16E-06,2.9,,
830,loss,-4.76E-06,2.9,,
4204,powerless,-5.51E-07,2.9,,
4417,needy,-1.93E-07,2.9,,
15,inflation,-1.32E-05,2.91,,
3199,devastation,-1.76E-06,2.91,,
2660,fever,-2.26E-06,2.92,,
364,fear,-6.68E-06,2.93,,
539,venom,-5.74E-06,2.93,,
201,blame,-8.08E-06,2.94,,
550,operation,-5.72E-06,2.94,,
1871,communism,-3.09E-06,2.94,,
3617,greasy,-1.30E-06,2.94,,
61,slap,-1.06E-05,2.95,,
97,distrust,-9.57E-06,2.95,,
415,weak,-6.31E-06,2.95,,
502,refusal,-5.89E-06,2.95,,
630,annoyance,-5.40E-06,2.95,,
769,bored,-4.94E-06,2.95,,
845,collision,-4.72E-06,2.95,,
1118,warlord,-4.17E-06,2.95,,
1245,reject,-3.94E-06,2.95,,
1752,combat,-3.24E-06,2.95,,
2153,termination,-2.78E-06,2.95,,
2747,meaningless,-2.19E-06,2.95,,
5169,awkward,2.00E-06,2.95,,
385,unable,-6.54E-06,2.96,,
1467,outrage,-3.61E-06,2.97,,
442,damage,-6.18E-06,2.98,,
127,corrupt,-9.04E-06,3,,
185,foul,-8.42E-06,3,,
190,drunken,-8.24E-06,3,,
318,costly,-6.95E-06,3,,
345,doom,-6.75E-06,3,,
395,struggle,-6.50E-06,3,,
504,stain,-5.89E-06,3,,
548,corruption,-5.72E-06,3,,
607,aging,-5.47E-06,3,,
659,villain,-5.30E-06,3,,
1911,odor,-3.05E-06,3,,
2504,demon,-2.42E-06,3,,
2719,scary,-2.21E-06,3,,
2902,tax,-2.04E-06,3,,
3233,annoying,-1.72E-06,3,,
3726,confusing,-1.17E-06,3,,
3771,spit,-1.12E-06,3,,
4349,dire,-3.08E-07,3,,
5439,flea,6.62E-06,3,,
681,scream,-5.23E-06,3.02,,
171,idiot,-8.53E-06,3.03,,
3,envy,-1.66E-05,3.05,,
147,cheat,-8.80E-06,3.05,,
727,cocaine,-5.08E-06,3.05,,
795,burden,-4.89E-06,3.05,,
1020,stab,-4.36E-06,3.05,,
1115,lazy,-4.18E-06,3.05,,
1128,earthquake,-4.15E-06,3.05,,
1574,undermine,-3.46E-06,3.05,,
1949,conflict,-3.00E-06,3.05,,
3408,discourage,-1.53E-06,3.05,,
3616,hitter,-1.30E-06,3.05,,
3909,delayed,-9.66E-07,3.05,,
4965,separation,1.11E-06,3.05,,
247,strike,-7.54E-06,3.06,,
2163,federal,-2.75E-06,3.06,,
2218,lump,-2.70E-06,3.07,,
860,sin,-4.70E-06,3.08,,
2296,aggressive,-2.63E-06,3.08,,
255,guilty,-7.43E-06,3.09,,
302,incorrect,-7.04E-06,3.09,,
363,reckless,-6.68E-06,3.09,,
454,fascist,-6.14E-06,3.1,,
642,obscene,-5.37E-06,3.1,,
856,dismay,-4.70E-06,3.1,,
2056,hang,-2.89E-06,3.1,,
2626,imprisonment,-2.29E-06,3.1,,
3796,affair,-1.10E-06,3.1,,
5230,extinction,2.50E-06,3.1,,
9,mafia,-1.40E-05,3.11,,
152,confused,-8.75E-06,3.11,,
187,troubled,-8.28E-06,3.11,,
207,pathetic,-7.95E-06,3.11,,
232,cage,-7.66E-06,3.11,,
419,homo,-6.29E-06,3.11,,
1114,devil,-4.18E-06,3.11,,
1482,ineffective,-3.58E-06,3.11,,
1700,destructive,-3.29E-06,3.11,,
2271,bill,-2.65E-06,3.11,,
284,mosquito,-7.19E-06,3.12,,
980,menace,-4.44E-06,3.13,,
8,warfare,-1.41E-05,3.14,,
36,tear,-1.16E-05,3.14,,
436,bombardment,-6.20E-06,3.14,,
439,anguish,-6.20E-06,3.14,,
687,misleading,-5.21E-06,3.14,,
1293,rumor,-3.86E-06,3.14,,
4339,landfill,-3.25E-07,3.14,,
4579,overrun,9.57E-08,3.14,,
353,riot,-6.72E-06,3.15,,
365,unfair,-6.68E-06,3.15,,
1257,argue,-3.92E-06,3.15,,
4323,bitterness,-3.44E-07,3.15,,
4681,foe,3.14E-07,3.15,,
5009,splinter,1.25E-06,3.15,,
376,ghetto,-6.60E-06,3.16,,
735,hurricane,-5.05E-06,3.16,,
834,slug,-4.76E-06,3.16,,
54,ambush,-1.10E-05,3.17,,
2307,dirty,-2.62E-06,3.17,,
4548,explosion,2.86E-08,3.17,,
0,discouraged,-1.98E-05,3.18,,
146,pity,-8.81E-06,3.18,,
1972,inhuman,-2.96E-06,3.18,,
4063,discourse,-7.76E-07,3.18,,
4155,surgery,-6.25E-07,3.18,,
56,desperate,-1.09E-05,3.19,,
132,worrying,-8.92E-06,3.19,,
153,deaf,-8.75E-06,3.19,,
198,decline,-8.08E-06,3.19,,
3032,deadline,-1.91E-06,3.19,,
3315,old,-1.62E-06,3.19,,
4855,rehab,7.46E-07,3.19,,
179,downfall,-8.46E-06,3.2,,
309,funk,-6.98E-06,3.2,,
562,hunger,-5.67E-06,3.2,,
1570,psycho,-3.47E-06,3.2,,
2205,autism,-2.71E-06,3.2,,
2571,crowded,-2.34E-06,3.2,,
3472,gross,-1.46E-06,3.2,,
28,outraged,-1.21E-05,3.21,,
113,controversy,-9.25E-06,3.21,,
272,exhaustion,-7.28E-06,3.21,,
287,complaint,-7.17E-06,3.21,,
676,severe,-5.25E-06,3.21,,
718,manipulate,-5.10E-06,3.21,,
1025,persecution,-4.35E-06,3.21,,
1190,opposition,-4.05E-06,3.21,,
2027,con,-2.91E-06,3.21,,
2180,noisy,-2.73E-06,3.21,,
3479,rat,-1.45E-06,3.21,,
100,contempt,-9.52E-06,3.22,,
673,cry,-5.26E-06,3.22,,
2784,communist,-2.15E-06,3.22,,
1992,billing,-2.94E-06,3.23,,
2102,warrant,-2.84E-06,3.23,,
344,bad,-6.76E-06,3.24,,
1065,insufficient,-4.26E-06,3.24,,
1082,wrong,-4.22E-06,3.24,,
1155,crude,-4.10E-06,3.24,,
1374,wound,-3.75E-06,3.24,,
2692,ignorant,-2.24E-06,3.24,,
3015,trap,-1.92E-06,3.24,,
5163,apocalypse,1.97E-06,3.24,,
142,dislike,-8.82E-06,3.25,,
581,graveyard,-5.60E-06,3.25,,
958,parole,-4.49E-06,3.25,,
1032,weary,-4.34E-06,3.25,,
3263,congestion,-1.68E-06,3.25,,
4203,dissatisfied,-5.56E-07,3.25,,
464,plead,-6.09E-06,3.26,,
615,interrupt,-5.44E-06,3.26,,
739,whaling,-5.04E-06,3.26,,
1191,emptiness,-4.04E-06,3.26,,
5255,acid,2.69E-06,3.26,,
149,worried,-8.79E-06,3.27,,
4842,punch,6.99E-07,3.27,,
64,detention,-1.06E-05,3.28,,
1138,trial,-4.14E-06,3.28,,
1386,rip,-3.73E-06,3.28,,
2288,doubt,-2.63E-06,3.28,,
3631,abrupt,-1.29E-06,3.28,,
5310,caution,3.25E-06,3.29,,
477,carnage,-6.01E-06,3.3,,
654,selfish,-5.31E-06,3.3,,
1391,vulgar,-3.72E-06,3.3,,
1826,weaken,-3.14E-06,3.3,,
1914,cynical,-3.04E-06,3.3,,
4461,quake,-1.09E-07,3.3,,
805,bastard,-4.86E-06,3.31,,
39,psychiatric,-1.15E-05,3.32,,
51,exile,-1.11E-05,3.32,,
557,radiation,-5.69E-06,3.32,,
736,disgust,-5.04E-06,3.32,,
904,confusion,-4.59E-06,3.32,,
2292,late,-2.63E-06,3.32,,
4663,shootout,2.68E-07,3.32,,
5052,inconsistent,1.46E-06,3.32,,
57,shrill,-1.09E-05,3.33,,
143,unfortunate,-8.81E-06,3.33,,
241,casualty,-7.57E-06,3.33,,
1976,ignore,-2.96E-06,3.33,,
2867,period,-2.07E-06,3.33,,
3018,freezing,-1.92E-06,3.33,,
877,frown,-4.66E-06,3.35,,
1040,inaccurate,-4.31E-06,3.35,,
1389,raid,-3.73E-06,3.35,,
3691,surveillance,-1.22E-06,3.35,,
4511,irrelevant,-3.83E-08,3.35,,
391,propaganda,-6.51E-06,3.36,,
450,error,-6.15E-06,3.36,,
2129,noise,-2.81E-06,3.36,,
2231,expensive,-2.68E-06,3.36,,
21,scarce,-1.29E-05,3.37,,
82,collapse,-9.95E-06,3.37,,
956,darkened,-4.49E-06,3.37,,
1544,blinding,-3.49E-06,3.37,,
1636,prosecution,-3.38E-06,3.37,,
1727,dim,-3.26E-06,3.37,,
3224,tobacco,-1.74E-06,3.37,,
242,distressed,-7.57E-06,3.38,,
361,irritation,-6.69E-06,3.38,,
1112,plaque,-4.18E-06,3.38,,
1217,senate,-4.00E-06,3.38,,
2020,horror,-2.92E-06,3.38,,
2401,ban,-2.52E-06,3.38,,
1733,rubbish,-3.26E-06,3.39,,
93,eerie,-9.66E-06,3.4,,
651,evacuate,-5.33E-06,3.4,,
819,dull,-4.80E-06,3.4,,
647,regret,-5.34E-06,3.41,,
722,refuse,-5.09E-06,3.42,,
1478,opium,-3.58E-06,3.42,,
1811,hooker,-3.15E-06,3.42,,
2229,conspiracy,-2.68E-06,3.42,,
92,censorship,-9.66E-06,3.43,,
684,inferior,-5.23E-06,3.43,,
3020,unstable,-1.92E-06,3.43,,
140,harsh,-8.86E-06,3.44,,
709,swear,-5.14E-06,3.44,,
1017,crap,-4.36E-06,3.44,,
3000,smoke,-1.94E-06,3.44,,
47,snoop,-1.12E-05,3.45,,
158,concussion,-8.72E-06,3.45,,
271,mortgage,-7.29E-06,3.45,,
1143,controlling,-4.12E-06,3.45,,
1665,bullet,-3.34E-06,3.45,,
4897,sham,8.78E-07,3.45,,
4929,delay,9.88E-07,3.45,,
993,accidental,-4.41E-06,3.46,,
1058,dubious,-4.28E-06,3.47,,
2675,rigid,-2.25E-06,3.47,,
3426,mar,-1.51E-06,3.47,,
72,thrash,-1.03E-05,3.48,,
239,suspicious,-7.59E-06,3.48,,
394,disrupt,-6.50E-06,3.48,,
626,restrict,-5.41E-06,3.48,,
657,breakdown,-5.30E-06,3.48,,
882,warning,-4.64E-06,3.48,,
1091,blood,-4.21E-06,3.48,,
1102,faulty,-4.19E-06,3.48,,
2512,brute,-2.41E-06,3.48,,
518,cemetery,-5.82E-06,3.49,,
393,distortion,-6.50E-06,3.5,,
867,shotgun,-4.68E-06,3.5,,
868,impossible,-4.68E-06,3.5,,
1044,pinch,-4.31E-06,3.5,,
1497,landlord,-3.55E-06,3.5,,
1687,conflicting,-3.31E-06,3.5,,
1778,mess,-3.20E-06,3.5,,
1780,shoot,-3.20E-06,3.5,,
2723,gossip,-2.21E-06,3.5,,
4502,sniper,-4.60E-08,3.5,,
256,embarrassed,-7.43E-06,3.51,,
369,tragic,-6.66E-06,3.52,,
390,problem,-6.51E-06,3.52,,
1135,court,-4.14E-06,3.52,,
1292,battle,-3.86E-06,3.52,,
1299,addiction,-3.85E-06,3.52,,
2710,hospital,-2.21E-06,3.52,,
2870,aids,-2.07E-06,3.52,,
5308,bite,3.23E-06,3.52,,
340,embarrassing,-6.78E-06,3.53,,
343,fault,-6.76E-06,3.53,,
656,toll,-5.30E-06,3.53,,
660,abnormal,-5.29E-06,3.53,,
985,tuition,-4.43E-06,3.53,,
2284,obsolete,-2.64E-06,3.53,,
3646,deposition,-1.27E-06,3.53,,
3741,impatient,-1.16E-06,3.53,,
1202,fight,-4.01E-06,3.54,,
1440,hungry,-3.65E-06,3.54,,
189,incapable,-8.26E-06,3.55,,
414,improper,-6.31E-06,3.55,,
525,prosecutor,-5.80E-06,3.55,,
598,scare,-5.53E-06,3.55,,
1335,legislature,-3.80E-06,3.55,,
1427,misconduct,-3.67E-06,3.55,,
1472,legislation,-3.59E-06,3.55,,
2714,incomplete,-2.21E-06,3.55,,
4131,congress,-6.60E-07,3.55,,
1234,pressure,-3.96E-06,3.56,,
1590,fool,-3.44E-06,3.56,,
4805,nervous,5.94E-07,3.56,,
5397,owe,4.48E-06,3.56,,
1106,vulnerable,-4.19E-06,3.57,,
1534,zombie,-3.50E-06,3.57,,
1582,bog,-3.45E-06,3.57,,
2032,pry,-2.91E-06,3.57,,
4698,junk,3.61E-07,3.57,,
98,yell,-9.52E-06,3.58,,
399,skeptical,-6.47E-06,3.58,,
841,subdued,-4.74E-06,3.58,,
1009,welfare,-4.37E-06,3.58,,
4558,tomb,4.88E-08,3.58,,
5046,indirect,1.42E-06,3.58,,
1171,lose,-4.08E-06,3.59,,
2373,bribery,-2.56E-06,3.59,,
297,oversight,-7.09E-06,3.6,,
872,tension,-4.68E-06,3.6,,
2735,uncertain,-2.20E-06,3.6,,
74,cancel,-1.02E-05,3.61,,
1043,bottom,-4.31E-06,3.61,,
3526,devoid,-1.39E-06,3.61,,
3574,despair,-1.35E-06,3.61,,
3648,sentencing,-1.27E-06,3.61,,
3851,purge,-1.04E-06,3.61,,
12,appalled,-1.36E-05,3.62,,
1648,capitalism,-3.36E-06,3.62,,
2608,alleged,-2.30E-06,3.62,,
3719,typhoon,-1.18E-06,3.62,,
66,spill,-1.05E-05,3.63,,
85,muted,-9.90E-06,3.63,,
135,outdated,-8.87E-06,3.63,,
220,scandal,-7.74E-06,3.63,,
692,skull,-5.20E-06,3.63,,
1537,bitter,-3.50E-06,3.63,,
1966,probe,-2.97E-06,3.63,,
2169,shortage,-2.74E-06,3.63,,
4484,mundane,-7.18E-08,3.63,,
4946,marijuana,1.06E-06,3.63,,
49,bum,-1.12E-05,3.64,,
1300,undead,-3.85E-06,3.64,,
2446,fatigue,-2.48E-06,3.64,,
2828,economy,-2.10E-06,3.64,,
78,exploit,-1.01E-05,3.65,,
2164,strict,-2.75E-06,3.65,,
564,gun,-5.66E-06,3.66,,
202,ridiculous,-8.07E-06,3.67,,
549,poor,-5.72E-06,3.67,,
1616,rid,-3.41E-06,3.67,,
3803,shattering,-1.09E-06,3.67,,
4471,attorney,-9.62E-08,3.67,,
5121,susceptible,1.73E-06,3.67,,
5210,stepmother,2.36E-06,3.67,,
46,strife,-1.12E-05,3.68,,
210,scorpion,-7.89E-06,3.68,,
283,lack,-7.20E-06,3.68,,
315,smug,-6.96E-06,3.68,,
595,anarchy,-5.54E-06,3.68,,
755,bash,-4.99E-06,3.68,,
1372,rough,-3.75E-06,3.68,,
1856,drag,-3.11E-06,3.68,,
3821,distract,-1.06E-06,3.68,,
4083,gray,-7.44E-07,3.68,,
4689,suppression,3.32E-07,3.68,,
5388,adverse,4.28E-06,3.68,,
23,shooter,-1.28E-05,3.7,,
452,glare,-6.14E-06,3.7,,
847,mob,-4.72E-06,3.7,,
1046,citation,-4.31E-06,3.7,,
2081,cartel,-2.86E-06,3.7,,
2,suck,-1.70E-05,3.71,,
540,toilet,-5.74E-06,3.71,,
712,congressman,-5.12E-06,3.71,,
790,takeover,-4.90E-06,3.71,,
2078,dependency,-2.87E-06,3.71,,
2776,disdain,-2.15E-06,3.71,,
2970,strain,-1.97E-06,3.71,,
558,beg,-5.69E-06,3.72,,
1159,quit,-4.10E-06,3.72,,
1583,dust,-3.45E-06,3.72,,
1079,burn,-4.23E-06,3.73,,
2024,forget,-2.91E-06,3.73,,
2960,freak,-1.97E-06,3.73,,
4916,dump,9.44E-07,3.73,,
101,unarmed,-9.51E-06,3.74,,
356,cancellation,-6.71E-06,3.74,,
677,bulge,-5.25E-06,3.74,,
1748,flawed,-3.24E-06,3.74,,
