,Word,Distil,Bert,Gold,Frequency,Mean Star,FFN,avg(vad_eb.V),avg(vad_eb.V > 3)
66,punishment,-8.220146183022878e-06,-5.75e-06,2.76,5,2.734,2.6064439999999998,2.734,0.0
67,painful,-8.197548997576139e-06,-9.68e-06,2.58,4,2.4425,2.6064439999999998,2.4425,0.0
68,everyday,-8.181987156921642e-06,-1.14e-05,5.47,1,2.8,3.6824985,2.8,0.0
69,faulty,-8.170374231887237e-06,-4.19e-06,3.48,3,2.48,2.6064439999999998,2.48,0.0
70,bored,-8.164558938107054e-06,-4.94e-06,2.95,1,2.8,2.6064439999999998,2.8,0.0
71,interrupt,-8.11587958017788e-06,-5.44e-06,3.26,1,2.9,2.6064439999999998,2.9,0.0
72,misery,-8.081164992660797e-06,-6.21e-06,2.2,2,2.315,2.6064439999999998,2.315,0.0
73,kitten,-8.070081945769754e-06,-5.7999999999999995e-06,7.58,2,2.15,3.210702,2.15,0.0
74,granite,-8.065538202914335e-06,-6.48e-06,5.05,1,2.71,2.8941342999999997,2.71,0.0
75,staircase,-8.002954172053878e-06,-1.41e-06,5.2,1,2.62,3.0223237999999997,2.62,0.0
76,hate,-7.937806105974034e-06,-9.91e-06,1.96,4,2.575,2.6064439999999998,2.575,0.5
77,blinding,-7.9087874666858e-06,-3.49e-06,3.37,1,2.7,2.6064439999999998,2.7,0.0
78,duplicate,-7.905722925092654e-06,-4.71e-06,4.7,1,2.7,2.8919357999999997,2.7,0.0
79,bleak,-7.90499227793992e-06,-1.18e-05,3.96,4,2.41,2.6064439999999998,2.41,0.0
80,disgusted,-7.897258733296128e-06,-1.25e-05,2.68,1,2.14,2.6064439999999998,2.14,0.0
81,bombing,-7.865272556553876e-06,-6.65e-06,2.1,9,2.5511111111111107,2.6064439999999998,2.6075,0.0
82,verdict,-7.865208603972476e-06,-7.14e-06,4.32,2,2.7,2.9011765,2.7,0.0
83,militia,-7.864742171442532e-06,-2.88e-06,4.21,3,2.806666666666666,2.6064439999999998,2.806667,0.0
84,shit,-7.864012227181634e-06,-1.86e-06,3.91,3,2.4,2.6064439999999998,2.3,0.0
85,reckless,-7.856972730998132e-06,-6.68e-06,3.09,1,2.5,2.6064439999999998,2.5,0.0
86,cease,-7.829119094744189e-06,-6.900000000000001e-06,3.95,2,2.725,2.6064439999999998,2.725,0.0
87,substance,-7.768586530359594e-06,-4.1e-06,4.29,1,2.75,2.7094336,2.75,0.0
88,bang,-7.767389371400821e-06,-7.41e-06,5.1,2,3.0,2.7008116,3.2,1.0
89,inevitable,-7.757592874542881e-06,-3.85e-08,4.1,1,2.6,2.6064439999999998,2.6,0.0
90,arrogant,-7.747789745558379e-06,-8.16e-06,2.52,1,2.2,2.6064439999999998,2.2,0.0
91,ignorance,-7.713727108966256e-06,-7.17e-06,2.84,1,2.44,2.6064439999999998,2.44,0.0
92,lifeless,-7.712826965068179e-06,-4.61e-06,2.24,1,2.71,2.6064439999999998,2.71,0.0
93,guiding,-7.695707658803933e-06,-3.05e-06,5.73,1,2.7,3.7229053999999997,2.7,0.0
94,elm,-7.695457374847179e-06,-5.39e-06,6.32,1,2.75,2.7731613999999998,2.75,0.0
95,helicopter,-7.689606573259462e-06,-8.5e-06,5.55,3,1.9,2.8273337000000005,1.9,0.0
96,chaos,-7.687784146651497e-06,-7.72e-06,2.84,6,2.355,2.6064439999999998,2.355,0.0
97,rejoin,-7.671843282134697e-06,-2.48e-06,5.85,1,2.8,2.7924588,2.8,0.0
98,infection,-7.67120648064642e-06,-2.69e-07,2.0,1,2.25,2.7404384999999998,2.25,0.0
99,discouraged,-7.668814942347427e-06,-1.98e-05,3.18,1,2.2,2.6064439999999998,2.2,0.0
100,neglect,-7.658832104466467e-06,-9.63e-06,2.16,7,2.5928571428571425,2.6064439999999998,2.592857,0.1429
101,robber,-7.644232791946539e-06,-5.16e-06,2.9,1,2.5,2.6064439999999998,2.5,0.0
102,tape,-7.628815603665888e-06,-3.72e-06,5.5,2,2.465,2.9167642999999996,2.465,0.0
103,hatred,-7.609294293792895e-06,-7.32e-06,2.38,2,2.55,2.6064439999999998,2.55,0.0
104,improper,-7.598259748735117e-06,-6.31e-06,3.55,1,2.8,2.6064439999999998,2.8,0.0
105,clarify,-7.583828924543253e-06,-7.67e-07,6.0,1,3.0,2.9560041,3.0,0.0
106,cooperative,-7.565770632480168e-06,-5.21e-06,6.62,1,2.44,3.7984699999999996,2.44,0.0
107,unreasonable,-7.552854697661393e-06,-1.25e-05,3.85,1,2.9,2.6064439999999998,2.9,0.0
108,dire,-7.545539225032686e-06,-3.08e-07,3.0,1,2.9,2.6064439999999998,2.9,0.0
109,productivity,-7.541140287989357e-06,-5.11e-06,6.55,1,2.44,3.0773313,2.44,0.0
110,cruel,-7.539470376843184e-06,-6.78e-06,2.73,10,2.522,2.6064439999999998,2.664,0.0
111,confuse,-7.511491726119867e-06,-3.82e-06,4.5,1,2.3,2.6064439999999998,2.3,0.0
112,howl,-7.503232961679022e-06,-4.69e-06,5.29,1,2.6,2.6064439999999998,2.6,0.0
113,gender,-7.496525139617331e-06,-8.64e-06,5.05,1,2.8,2.9560174999999997,2.8,0.0
114,disappointment,-7.489329342016032e-06,-5.12e-06,2.79,3,2.473333333333333,2.6064439999999998,2.4733330000000002,0.0
115,siege,-7.4858644088376955e-06,-3.43e-07,4.1,1,2.7,2.6064439999999998,2.7,0.0
116,aluminum,-7.419659023214879e-06,-1.11e-06,5.1,1,3.0,3.014254,3.0,0.0
117,die,-7.39755144923636e-06,-7.13e-06,1.67,23,2.4760869565217387,2.6064439999999998,2.4760869999999997,0.087
118,drunken,-7.373477151053667e-06,-8.24e-06,3.0,1,2.56,2.6064439999999998,2.56,0.0
119,tempting,-7.371213951654076e-06,-8.27e-06,6.05,1,2.7,3.2107716,2.7,0.0
120,wrap,-7.335818949155693e-06,-7.43e-06,5.57,2,2.505,3.2118278,2.505,0.0
121,venom,-7.331571459902797e-06,-5.74e-06,2.93,1,2.9,2.6064439999999998,2.9,0.0
122,component,-7.331257731816679e-06,-5.37e-06,5.62,1,2.45,3.0051598999999998,2.45,0.0
123,disdain,-7.273954559442834e-06,-2.15e-06,3.71,1,2.8,2.6064439999999998,2.8,0.0
124,opt,-7.256556850308386e-06,-9e-06,4.85,1,3.0,2.988362,3.0,0.0
125,tear,-7.224141892958728e-06,-1.16e-05,3.14,2,2.41,2.6205778,2.41,0.0
126,chronic,-7.21363012447703e-06,1.77e-06,3.86,1,2.2,2.6064439999999998,2.2,0.0
127,bathing,-7.203000171769035e-06,-1.44e-06,6.14,2,2.25,3.213789,2.25,0.0
128,troop,-7.199540513096065e-06,-2.53e-06,5.58,1,2.9,3.1012087000000004,2.9,0.0
129,decay,-7.182486408265249e-06,-1.11e-05,2.4,5,2.6060000000000003,2.6064854,2.75,0.0
130,repression,-7.178877503760672e-06,-1.15e-05,2.81,1,2.5,2.6064439999999998,2.5,0.0
131,foundry,-7.161430189373448e-06,-2.29e-06,5.32,1,3.25,2.852548,3.25,1.0
132,fade,-7.149621232401445e-06,-1.21e-05,4.65,1,2.6,2.6776378,2.6,0.0
133,squirrel,-7.148316597473578e-06,-8.99e-06,5.71,1,2.3,2.8086827000000003,2.3,0.0
134,cheat,-7.144937655694425e-06,-8.8e-06,3.05,1,2.0,2.606785,2.0,0.0
135,vial,-7.110504704449516e-06,-1.58e-06,4.62,1,3.0,2.7133121,3.0,0.0
136,futile,-7.1090036219533664e-06,-5.75e-06,3.82,2,2.6,2.6064439999999998,2.6,0.0
137,ward,-7.1059138058164305e-06,-2.95e-06,4.43,3,2.833333333333333,2.9051888,2.833333,0.6667
138,swallow,-7.1020385948375444e-06,-6.29e-06,5.57,1,2.4,2.6064439999999998,2.4,0.0
139,plane,-7.08265840935489e-06,-5.82e-06,5.72,9,2.5322222222222233,2.6079738,2.5525,0.125
140,suffer,-7.072113174227264e-06,-9.62e-06,2.05,4,2.65,2.6064439999999998,2.566667,0.0
141,shame,-7.067972600889267e-06,-1.0800000000000003e-05,2.62,5,2.3600000000000003,2.6064439999999998,2.325,0.0
142,liar,-7.061978091756073e-06,-5.85e-06,2.41,2,2.25,2.6064439999999998,2.0,0.0
143,virus,-7.060867568253053e-06,-7.88e-06,1.71,2,2.59,2.6064439999999998,2.59,0.0
144,flawed,-7.055632696428837e-06,-3.24e-06,3.74,1,2.8,2.6064439999999998,2.8,0.0
145,stupid,-7.052239225018713e-06,-9.699999999999999e-06,2.84,6,2.4866666666666664,2.6064439999999998,2.4866669999999997,0.0
146,tow,-7.0502123502014236e-06,-7.56e-06,5.38,1,2.45,2.9121995,2.45,0.0
147,shocking,-7.028728503005037e-06,-8.44e-06,4.63,5,2.6519999999999997,2.6064439999999998,2.4,0.0
148,assault,-7.023962416073204e-06,-1.17e-05,2.05,2,2.145,2.6064439999999998,2.145,0.0
149,crash,-6.991431589382244e-06,-1.06e-05,2.9,8,2.17,2.6064439999999998,2.17,0.0
150,outbreak,-6.965842816202611e-06,-6.22e-06,2.47,6,2.65,2.6064439999999998,2.65,0.3333
151,lack,-6.96397464748807e-06,-7.2000000000000005e-06,3.68,17,2.5823529411764707,2.6064439999999998,2.582353,0.0
152,abrupt,-6.963028766830231e-06,-1.29e-06,3.28,1,2.7,2.6064439999999998,2.7,0.0
153,slave,-6.9485511599140276e-06,-7.17e-06,2.06,5,2.6,2.6064439999999998,2.6,0.2
154,disorder,-6.9396341742753815e-06,1.35e-06,3.76,1,3.2,2.606561,3.2,1.0
155,toxic,-6.9324579374857746e-06,-1.05e-05,2.35,3,2.4933333333333336,2.6064439999999998,2.4933330000000002,0.0
156,outlaw,-6.928220568585182e-06,-4.96e-06,4.1,1,2.5,2.643239,2.5,0.0
157,assessment,-6.920412408212283e-06,-3.82e-06,5.22,1,2.8,2.9559598,2.8,0.0
158,murder,-6.915377151449623e-06,-8.62e-06,1.48,6,2.4166666666666665,2.6064439999999998,2.48,0.0
159,kill,-6.897601667341969e-06,-8.44e-06,1.81,32,2.4271875,2.6064439999999998,2.380667,0.0
160,disregard,-6.8953195912335036e-06,-5.35e-06,4.52,4,2.455,2.6064439999999998,2.37,0.0
161,load,-6.886474979456159e-06,-4.05e-06,4.43,1,2.5,2.622162,2.5,0.0
162,apocalypse,-6.870214701609757e-06,1.97e-06,3.24,1,2.9,2.6064439999999998,2.9,0.0
163,unfair,-6.867922365499471e-06,-6.68e-06,3.15,4,2.495,2.6064439999999998,2.55,0.0
164,trap,-6.865582570634283e-06,-1.92e-06,3.24,3,2.9233333333333333,2.6064439999999998,2.55,0.5
165,depression,-6.863763916413236e-06,-4.68e-06,2.44,4,2.6850000000000005,2.6070444999999998,2.685,0.0
166,tractor,-6.85509715910836e-06,-1.57e-06,5.05,1,3.0,3.3766364999999996,3.0,0.0
167,warfare,-6.838123989455028e-06,-1.41e-05,3.14,2,2.65,2.6071126000000002,2.65,0.0
168,bribery,-6.834864357837163e-06,-2.56e-06,3.59,1,2.7,2.9407485,2.7,0.0
169,rainy,-6.818781167446572e-06,-3.42e-06,5.55,1,3.5,3.0493507,3.5,1.0
170,declare,-6.818452446979057e-06,-3.13e-06,5.42,1,2.7,2.7906619999999998,2.7,0.0
171,canine,-6.803320395573169e-06,2.41e-06,6.22,1,3.3,3.3915029000000003,3.3,1.0
172,scream,-6.802612316410736e-06,-5.23e-06,3.02,1,2.7,2.6064439999999998,2.7,0.0
173,harsh,-6.801132495593922e-06,-8.86e-06,3.44,2,2.7,2.6064439999999998,2.7,0.0
174,wrestle,-6.7830271250901575e-06,-8.06e-07,4.53,1,3.1,2.626248,3.1,1.0
175,aircraft,-6.776247927017268e-06,-4.82e-06,6.3,3,2.5066666666666664,2.928218,2.37,0.0
176,philosophical,-6.77327104607837e-06,-8.1e-06,6.21,1,2.4,2.8940094,2.4,0.0
177,scarce,-6.75738666988899e-06,-1.29e-05,3.37,2,2.45,2.608093,2.45,0.0
178,judgment,-6.750764876770529e-06,-6.1e-06,4.65,8,2.61,2.612519,2.61,0.0
179,marital,-6.745660565179075e-06,-3.41e-06,5.24,1,2.7,3.0614237999999996,2.7,0.0
180,homeless,-6.742436611407056e-06,-1.16e-05,2.21,7,2.4185714285714286,2.6064439999999998,2.418571,0.1429
181,mortgage,-6.7420453861710686e-06,-7.29e-06,3.45,1,2.8,2.8938534,2.8,0.0
182,anguish,-6.740026530289989e-06,-6.2e-06,3.14,1,3.4,2.6064439999999998,3.4,1.0
183,scared,-6.724909618650854e-06,-1.31e-06,2.8,2,2.45,2.6064439999999998,2.45,0.0
184,protest,-6.720146086704772e-06,-6.99e-06,4.42,9,2.6155555555555563,2.6064439999999998,2.746667,0.0
185,vernacular,-6.718599077477906e-06,-1.12e-06,5.35,1,2.9,2.9944587000000005,2.9,0.0
186,stake,-6.704167141489557e-06,-5.49e-06,4.78,9,2.606666666666667,2.682808,2.606667,0.0
187,pain,-6.698930517166841e-06,-7.01e-06,2.0,13,2.5869230769230773,2.6064439999999998,2.586923,0.1538
188,hub,-6.688570724220262e-06,-3.45e-06,4.95,4,2.83,3.848704,3.36,1.0
189,plague,-6.680082884645555e-06,-1.88e-06,2.42,2,2.8,2.6064439999999998,2.8,0.5
190,epidemic,-6.6721119546716175e-06,-4.37e-06,2.05,1,2.5,2.6064439999999998,2.5,0.0
191,shortage,-6.664942661891808e-06,-2.74e-06,3.63,1,2.9,2.6064439999999998,2.9,0.0
192,speechless,-6.658351125510276e-06,-8.43e-07,4.53,1,2.8,2.744524,2.8,0.0
193,father,-6.656790459416233e-06,-8.04e-06,6.88,6,2.526666666666667,2.6315215,2.532,0.0
194,contradiction,-6.6528720736059675e-06,-8.02e-07,3.79,1,3.0,2.636693,3.0,0.0
195,grave,-6.638460043377017e-06,-4.94e-06,2.4,2,2.6500000000000004,2.6064439999999998,2.65,0.5
196,fear,-6.637341164461373e-06,-6.68e-06,2.93,19,2.557368421052632,2.6064439999999998,2.557368,0.0
197,devastation,-6.630833627887153e-06,-1.76e-06,2.91,3,2.7,2.6064439999999998,2.7,0.0
198,sucker,-6.600390155044148e-06,-1.3e-06,4.0,4,2.7575000000000003,2.6960926,2.766667,0.3333
199,hack,-6.582265258762832e-06,-7.9e-06,3.95,3,2.6333333333333333,2.6069188,2.8,0.0
200,erase,-6.571969321809516e-06,-3.96e-06,4.89,1,2.88,2.6068322999999998,2.88,0.0
201,stance,-6.571144199669921e-06,-5.49e-06,6.1,1,2.6,2.9395835,2.6,0.0
202,hysterical,-6.569005460962951e-06,-6.4e-06,4.58,1,2.36,2.6064439999999998,2.36,0.0
203,weigh,-6.548693113581532e-06,-1.76e-06,4.32,2,2.455,2.9559867000000004,2.455,0.0
204,neighboring,-6.543096798668676e-06,-4.03e-06,5.95,3,2.716666666666667,2.9883986,2.7166669999999997,0.0
205,ruin,-6.541725419856082e-06,-2.05e-06,2.32,2,2.87,2.6064439999999998,2.6,0.0
206,undermine,-6.5382641089573035e-06,-3.46e-06,3.05,2,2.6,2.6064439999999998,2.4,0.0
207,dislike,-6.5214110024225625e-06,-8.82e-06,3.25,1,2.38,2.6064439999999998,2.38,0.0
208,intentional,-6.519181701837572e-06,-1.12e-05,5.37,1,2.5,2.60875,2.5,0.0
209,embarrassing,-6.5165324431387764e-06,-6.78e-06,3.53,3,2.4933333333333336,2.6064439999999998,2.4933330000000002,0.0
210,devoid,-6.514135648624566e-06,-1.39e-06,3.61,2,3.0,2.6064439999999998,3.0,0.0
211,revenge,-6.512202351293892e-06,-6.99e-06,2.75,2,2.8,2.6064439999999998,2.8,0.0
212,takeoff,-6.498653024651173e-06,-1.28e-05,5.5,1,2.0,3.261653,2.0,0.0
213,outdated,-6.4967726428163634e-06,-8.87e-06,3.63,3,2.3233333333333333,2.6064439999999998,2.3233330000000003,0.0
214,devastating,-6.475937856079399e-06,-9.05e-06,2.09,2,2.3,2.6064439999999998,2.3,0.0
215,baggage,-6.474016373843779e-06,-3.06e-06,4.5,1,2.44,2.7381587000000005,2.44,0.0
216,successor,-6.465371498019327e-06,-7.06e-06,6.11,1,3.1,2.8855946,3.1,1.0
217,death,-6.462216459593777e-06,-5.38e-06,1.89,32,2.630937499999999,2.6064439999999998,2.606129,0.1613
218,militant,-6.4598115190663925e-06,2.38e-06,3.95,1,2.7,2.6064439999999998,2.7,0.0
219,scrambled,-6.453871776640474e-06,-6.34e-06,5.2,2,2.52,2.6064439999999998,2.52,0.0
220,holy,-6.433775125001355e-06,-8.12e-06,6.06,1,2.13,3.0190592,2.13,0.0
221,condition,-6.422750584743803e-06,-5.69e-06,4.32,2,2.9,3.012425,2.9,0.0
222,inaccurate,-6.420180308513334e-06,-4.31e-06,3.35,3,2.8866666666666667,2.6064439999999998,2.8866669999999996,0.0
223,accidental,-6.415873136529483e-06,-4.41e-06,3.46,3,2.39,2.6064439999999998,2.39,0.0
224,disturbance,-6.411010865750578e-06,-7.31e-06,2.68,1,2.8,2.6064439999999998,2.8,0.0
225,cervical,-6.3944437601673445e-06,-3.38e-06,4.67,2,2.83,2.9720736,2.83,0.5
226,dreadful,-6.385222213536879e-06,-1.5e-05,2.6,2,2.45,2.6064439999999998,2.45,0.0
227,clone,-6.378414005109301e-06,-7.25e-06,4.18,1,2.89,2.6502522999999996,2.89,0.0
228,cosmos,-6.375178650458446e-06,-8.77e-06,6.5,1,2.7,3.5872583,2.7,0.0
229,monster,-6.3715995757181645e-06,1.36e-06,2.55,1,3.0,2.6064439999999998,3.0,0.0
230,bonding,-6.370035046267726e-06,-5.85e-06,6.45,1,3.11,4.284546400000001,3.11,1.0
231,arrogance,-6.349609078470929e-06,-6.83e-06,2.55,1,2.7,2.6064439999999998,2.7,0.0
232,diplomat,-6.342669881832913e-06,-4.4e-06,4.65,2,2.45,2.817728,2.45,0.0
233,pit,-6.337054153077344e-06,-6.22e-06,3.85,1,2.7,2.6064439999999998,2.7,0.0
234,oppression,-6.323044489471343e-06,-4.36e-06,2.67,1,3.3,2.6064439999999998,3.3,1.0
235,scare,-6.318440736064116e-06,-5.53e-06,3.55,5,2.5800000000000005,2.6064439999999998,2.58,0.0
236,participant,-6.310096473084263e-06,-7.88e-06,5.32,2,2.4,3.059082,2.4,0.0
237,seize,-6.29822211118368e-06,-8.84e-06,3.79,5,2.6,2.6267638,2.625,0.0
238,utter,-6.293505699091206e-06,-9.15e-06,4.76,1,2.43,2.6064439999999998,2.43,0.0
239,flood,-6.282852756928736e-06,-6.69e-06,2.76,6,2.9433333333333334,2.6064439999999998,2.943333,0.5
240,metabolic,-6.276578220322977e-06,-4.68e-06,5.11,1,3.0,3.0082505,3.0,0.0
241,killing,-6.269261966486668e-06,-6.08e-06,1.95,18,2.5122222222222224,2.6064439999999998,2.512222,0.0556
242,mafia,-6.257328635933535e-06,-1.4e-05,3.11,1,2.2,2.6064439999999998,2.2,0.0
243,glitter,-6.240333420147921e-06,-4.07e-06,6.15,1,2.88,3.1771602999999997,2.88,0.0
244,havoc,-6.238237032683727e-06,-7.82e-06,3.85,1,2.1,2.6064439999999998,2.1,0.0
245,deadly,-6.230295274099522e-06,-6.59e-06,1.9,8,2.47125,2.6064439999999998,2.47125,0.0
246,transcript,-6.217359655322219e-06,-2.21e-06,5.24,2,2.295,2.8573503,2.295,0.0
247,sapphire,-6.2152191170755655e-06,-7.87e-06,6.92,1,3.1,3.2669713,3.1,1.0
248,complaint,-6.2078806906872516e-06,-7.17e-06,3.21,8,2.7625,2.6064439999999998,2.7625,0.0
249,threaten,-6.1912791066850385e-06,-8.91e-06,2.6,4,2.5825,2.6064439999999998,2.5825,0.0
250,tumor,-6.18176969237125e-06,-8.2e-06,2.05,1,2.7,2.824105,2.7,0.0
251,alleviate,-6.1745122529507e-06,-5.22e-06,6.25,1,3.1,2.6064439999999998,3.1,1.0
252,distrust,-6.173636820039352e-06,-9.57e-06,2.95,1,2.7,2.6064439999999998,2.7,0.0
253,unemployment,-6.168330846118703e-06,-6.2e-06,2.32,7,2.8471428571428565,2.6064439999999998,2.847143,0.2857
254,riot,-6.1629796058132776e-06,-6.72e-06,3.15,3,2.6166666666666667,2.6064439999999998,2.325,0.0
255,segment,-6.161485975135033e-06,-4.76e-06,4.63,2,2.95,2.9598036,3.0,0.0
256,grim,-6.161483368127829e-06,-1.03e-05,2.41,3,2.56,2.6064439999999998,2.3,0.0
257,subdued,-6.159772649311224e-06,-4.74e-06,3.58,1,3.11,2.6072307,3.11,1.0
258,timetable,-6.128469372224603e-06,-1.35e-06,4.9,1,3.0,2.8955495,3.0,0.0
259,kidnapping,-6.121629207267442e-06,-1.3e-05,2.05,1,2.5,2.6064439999999998,2.5,0.0
260,spill,-6.104244757820324e-06,-1.05e-05,3.63,2,2.45,2.6064439999999998,2.45,0.0
