,Word,Value,V.Mean.Sum
246,tingle,-7.554892962261898e-06,6.23
247,strike,-7.535059959745608e-06,3.06
248,abuse,-7.5072443278508466e-06,1.53
249,astronomical,-7.50340795854787e-06,6.37
250,resign,-7.480367856180226e-06,4.17
251,mini,-7.454587571735968e-06,5.86
252,arise,-7.452514672167923e-06,6.17
253,spike,-7.441564439984727e-06,4.23
254,wrap,-7.434816475890976e-06,5.57
255,guilty,-7.433210929593502e-06,3.09
256,embarrassed,-7.426489886957965e-06,3.51
257,moan,-7.4257159348011664e-06,4.05
258,disappointing,-7.42032651020764e-06,2.79
259,pill,-7.414631925758396e-06,4.16
260,bang,-7.412608671579038e-06,5.1
261,fern,-7.403561091981481e-06,6.52
262,hatred,-7.324170200120522e-06,2.38
263,cot,-7.323343244787968e-06,5.37
264,crisis,-7.322795160168364e-06,2.05
265,reminiscent,-7.321990616315777e-06,6.11
266,astonished,-7.3214975096584185e-06,6.42
267,lace,-7.311601790830717e-06,6.58
268,disturbance,-7.309649201462746e-06,2.68
269,critic,-7.2933150166374266e-06,4.1
270,folder,-7.287944564291863e-06,5.7
271,mortgage,-7.2871620657675535e-06,3.45
272,exhaustion,-7.280953662147649e-06,3.21
273,lair,-7.280794373581516e-06,5.0
274,evil,-7.2776721741271005e-06,2.34
275,flawless,-7.271571304867663e-06,7.05
276,adamant,-7.258024731268686e-06,5.45
277,clone,-7.2516115112812125e-06,4.18
278,snowy,-7.250944031256257e-06,6.59
279,splash,-7.2280448398566915e-06,6.53
280,crouch,-7.220084891013112e-06,4.79
281,awake,-7.201910531059777e-06,6.76
282,torch,-7.199632129052206e-06,4.5
283,lack,-7.197011842929766e-06,3.68
284,mosquito,-7.19398217952083e-06,3.12
285,polling,-7.183717959842924e-06,4.55
286,starving,-7.180416770298977e-06,2.86
287,complaint,-7.171077099158698e-06,3.21
288,slave,-7.166878882981323e-06,2.06
289,ignorance,-7.165386052859768e-06,2.84
290,rotate,-7.143572724888697e-06,5.24
291,verdict,-7.142396173460269e-06,4.32
292,galley,-7.138858262996835e-06,4.56
293,projecting,-7.1385771948743555e-06,5.4
294,killer,-7.136685377151335e-06,1.74
295,die,-7.1327518314433125e-06,1.67
296,numb,-7.122490571600156e-06,3.79
297,oversight,-7.0918385479540325e-06,3.6
298,passenger,-7.073541310171979e-06,4.55
299,successor,-7.061208075675081e-06,6.11
300,miserable,-7.0565173042787715e-06,2.6
301,euro,-7.048304575278432e-06,5.35
302,incorrect,-7.036231465476032e-06,3.09
303,beetle,-7.023569033999995e-06,4.2
304,pain,-7.0108589182251425e-06,2.0
305,infant,-6.999738577093012e-06,6.65
306,revenge,-6.9911069234795025e-06,2.75
307,protest,-6.989371075954242e-06,4.42
308,localized,-6.986642365776803e-06,5.05
309,funk,-6.977553837420973e-06,3.2
310,hurt,-6.973212512474328e-06,2.45
311,beloved,-6.973066085352864e-06,7.38
312,attack,-6.973014249286078e-06,2.0
313,gleam,-6.968274652121205e-06,5.95
314,fate,-6.967966685630934e-06,5.38
315,smug,-6.9645011736031255e-06,3.68
316,fire,-6.956746726947022e-06,4.32
317,repetitive,-6.956139354955908e-06,4.05
318,costly,-6.949826005365108e-06,3.0
319,eternal,-6.9429420496356106e-06,6.76
320,ugly,-6.939205709139517e-06,2.47
321,socialism,-6.933293240676586e-06,4.0
322,terrorist,-6.929935453606463e-06,2.35
323,restricted,-6.926755228004826e-06,3.83
324,novel,-6.907201824027098e-06,5.74
325,cease,-6.904962051634822e-06,3.95
326,dialogue,-6.8979682242691996e-06,6.25
327,fuck,-6.8830360581546734e-06,5.23
328,dangerous,-6.877911860397465e-06,2.33
329,trump,-6.869743968256127e-06,4.18
330,drastic,-6.867144218495463e-06,4.63
331,dumb,-6.861105675535413e-06,2.44
332,arrogance,-6.83087252056902e-06,2.55
333,timer,-6.81771947071604e-06,4.81
334,dictatorship,-6.814926401773243e-06,2.62
335,predictable,-6.814102552210599e-06,5.25
336,mistake,-6.813346114148441e-06,2.89
337,trafficking,-6.794641967250986e-06,2.55
338,demographic,-6.789018029989639e-06,4.41
339,turkey,-6.783287561140968e-06,5.9
340,embarrassing,-6.783053447980711e-06,3.53
341,cruel,-6.780941021634985e-06,2.73
342,oxide,-6.7677365528974924e-06,5.53
343,fault,-6.764268407214817e-06,3.53
344,bad,-6.756976140158873e-06,3.24
345,doom,-6.745079107763873e-06,3.0
346,racism,-6.744720816273839e-06,1.48
347,lure,-6.744488300981326e-06,4.65
348,uprising,-6.743252730950777e-06,4.33
349,teacher,-6.736901525604025e-06,7.37
350,violation,-6.7336312788938285e-06,2.29
351,catastrophe,-6.728161887311253e-06,2.7
352,migrate,-6.721491272750531e-06,4.57
353,riot,-6.717685292607505e-06,3.15
354,throat,-6.712228508194001e-06,4.76
355,disclosure,-6.707859863869814e-06,4.71
356,cancellation,-6.705663632434097e-06,3.74
357,gamble,-6.704028344309276e-06,4.81
358,fail,-6.6988768015978295e-06,2.33
359,dash,-6.696595702062232e-06,5.05
360,invisible,-6.689432987099416e-06,5.0
361,irritation,-6.68720493805323e-06,3.38
362,flood,-6.68708495056704e-06,2.76
363,reckless,-6.681694970402108e-06,3.09
364,fear,-6.678368525493044e-06,2.93
365,unfair,-6.676183752494143e-06,3.15
366,homicide,-6.666279112834777e-06,1.5
367,imminent,-6.664851574689212e-06,5.25
368,warn,-6.664231585591825e-06,4.9
369,tragic,-6.6631963881088234e-06,3.52
370,widespread,-6.658020457155309e-06,5.11
371,hacker,-6.658018257490091e-06,4.5
372,hepatitis,-6.648928927904807e-06,2.33
373,bombing,-6.6471385849246504e-06,2.1
374,questionable,-6.626333624396945e-06,4.48
375,afraid,-6.622676807761399e-06,2.25
376,ghetto,-6.604887466084748e-06,3.16
377,deadly,-6.5904003258276484e-06,1.9
378,pest,-6.5864163032439765e-06,2.67
379,unhappy,-6.581560259373333e-06,1.84
380,overwhelming,-6.5757899844561136e-06,3.89
381,hazard,-6.557100148139409e-06,2.9
382,echo,-6.555767159688308e-06,5.2
383,sentimental,-6.5472918357502765e-06,6.27
384,battalion,-6.546265278800876e-06,5.14
385,unable,-6.541969954672042e-06,2.96
386,prisoner,-6.537953481771294e-06,2.67
387,parliament,-6.532102501751366e-06,4.9
388,disposal,-6.520665218568329e-06,4.0
389,armor,-6.514298637026276e-06,6.1
390,problem,-6.512744477567857e-06,3.52
391,propaganda,-6.511916265704799e-06,3.36
392,realization,-6.508669504030895e-06,6.42
393,distortion,-6.4997252886761864e-06,3.5
394,disrupt,-6.4963141592766505e-06,3.48
395,struggle,-6.49515720998565e-06,3.0
396,ambiguous,-6.484820392218167e-06,5.16
397,protocol,-6.482928856419805e-06,5.1
398,granite,-6.475581775577943e-06,5.05
399,skeptical,-6.470389594753767e-06,3.58
400,adopt,-6.4595325492642725e-06,6.9
401,grammar,-6.458102182131628e-06,6.25
402,victim,-6.457485281489983e-06,2.05
403,storm,-6.456417375413938e-06,5.74
404,lax,-6.413998305791295e-06,4.43
405,hysterical,-6.404580587510145e-06,4.58
406,geometric,-6.3942741044265006e-06,5.24
407,commit,-6.392117328002902e-06,5.85
408,samba,-6.380508872920927e-06,5.95
409,pediatric,-6.378718492387285e-06,5.75
410,illuminating,-6.3666152111026735e-06,6.56
411,scrambled,-6.344948432226993e-06,5.2
412,ghost,-6.326789489614587e-06,4.23
413,electric,-6.322230500165985e-06,6.1
414,improper,-6.314362897302805e-06,3.55
415,weak,-6.3099052981607625e-06,2.95
416,mushroom,-6.301598152153032e-06,5.61
417,jail,-6.2891845699534975e-06,1.91
418,swallow,-6.28915997048322e-06,5.57
419,homo,-6.2886590770361295e-06,3.11
420,sick,-6.287180009006522e-06,2.29
421,confirm,-6.279243796087723e-06,5.76
422,joke,-6.275260444175515e-06,7.88
423,sailor,-6.271214375732266e-06,6.1
424,blank,-6.255735526695255e-06,4.67
425,viewing,-6.25399907780245e-06,5.58
426,hostage,-6.245847794765155e-06,2.74
427,resistant,-6.242753267447314e-06,3.86
428,parody,-6.230968785927067e-06,5.75
429,problematic,-6.2261554729606955e-06,2.58
430,outbreak,-6.222289688402682e-06,2.47
431,hyper,-6.222021989512235e-06,5.11
432,pit,-6.217021398950233e-06,3.85
433,tube,-6.214941131978241e-06,5.53
434,dead,-6.208588825580504e-06,2.02
435,misery,-6.206821209308229e-06,2.2
436,bombardment,-6.204139591366638e-06,3.14
437,literary,-6.198945171899452e-06,5.95
438,unemployment,-6.195954879694671e-06,2.32
439,anguish,-6.195502268589494e-06,3.14
440,swap,-6.191596274680393e-06,5.24
441,poverty,-6.189560581947224e-06,2.0
442,damage,-6.1828103518809146e-06,2.98
443,destroy,-6.182126203485572e-06,2.67
444,cello,-6.180560832893163e-06,5.75
445,pound,-6.171837355739562e-06,4.62
446,anxiety,-6.1644050806710276e-06,2.38
447,airport,-6.1635445441218586e-06,6.0
448,useless,-6.156802674273793e-06,2.8
449,paranoia,-6.154461008258301e-06,2.6
450,error,-6.14948236243168e-06,3.36
451,betrayal,-6.146956559381171e-06,2.24
452,glare,-6.140904984660671e-06,3.7
453,convict,-6.139205722094365e-06,2.28
454,fascist,-6.13900476728139e-06,3.1
455,leash,-6.135793257070847e-06,5.25
456,shut,-6.133512503565763e-06,4.5
457,ox,-6.131074812211479e-06,4.95
458,ivory,-6.129282489328487e-06,5.2
459,dew,-6.110882258482849e-06,4.79
460,judgment,-6.103487380755036e-06,4.65
461,citadel,-6.10072235395868e-06,5.61
462,carrier,-6.099971295421558e-06,5.19
463,deceased,-6.091659592625624e-06,2.73
464,plead,-6.086366538632834e-06,3.26
465,administrative,-6.0829788782537455e-06,4.79
466,killing,-6.081468914983925e-06,1.95
467,darkness,-6.077699693323585e-06,4.71
468,falcon,-6.071334563151343e-06,5.5
469,coach,-6.070855290497661e-06,5.72
470,phenomenon,-6.070302664307192e-06,6.79
471,notion,-6.05783534725346e-06,5.86
472,braid,-6.035143914155198e-06,5.78
473,strand,-6.0307690993172585e-06,5.0
474,violent,-6.0306951143412e-06,2.26
475,oral,-6.012064795747156e-06,4.95
476,ram,-6.0101650576072085e-06,4.37
477,carnage,-6.008001981287296e-06,3.3
478,vile,-5.996357040248072e-06,2.21
479,span,-5.994544709493467e-06,5.74
480,shock,-5.99437838806653e-06,3.9
481,slump,-5.983328670321967e-06,3.95
482,brown,-5.972149051162043e-06,5.52
483,clever,-5.972039708541932e-06,7.36
484,dagger,-5.969044163086726e-06,4.38
485,unification,-5.963507202129866e-06,6.1
486,powerful,-5.956498273725191e-06,6.46
487,file,-5.955475837583556e-06,5.44
488,investigate,-5.942783570724031e-06,5.68
489,circulation,-5.93647408084208e-06,5.71
490,affection,-5.935159101281655e-06,7.89
491,convince,-5.9236030007130495e-06,5.45
492,gang,-5.920482230822616e-06,2.71
493,hunt,-5.918780744946172e-06,3.84
494,heavy,-5.91532397251182e-06,4.78
495,eleven,-5.9057824126444265e-06,5.0
496,penalty,-5.904241193521037e-06,2.8
497,clearance,-5.902775488309901e-06,6.62
498,exempt,-5.902175609556748e-06,4.84
499,scrutiny,-5.899732810859051e-06,3.83
500,compassion,-5.89931615140038e-06,7.9
501,mock,-5.892786085051423e-06,3.81
502,refusal,-5.8910611687897074e-06,2.95
503,checkpoint,-5.8884230377069064e-06,4.44
504,stain,-5.886780415951276e-06,3.0
505,fox,-5.885913913994863e-06,5.52
506,emotional,-5.885583099030767e-06,5.11
507,economics,-5.862284442439507e-06,5.2
508,trait,-5.86124789512162e-06,5.44
509,truth,-5.853736994466898e-06,7.19
510,police,-5.852921039941919e-06,4.59
511,panic,-5.8520346191987685e-06,2.56
512,bonding,-5.8482611529261e-06,6.45
513,liar,-5.8463270534760605e-06,2.41
514,airborne,-5.83927638524099e-06,5.25
515,playoff,-5.838323445472859e-06,5.14
516,acceptable,-5.835255625399073e-06,6.59
517,breeding,-5.825966787220231e-06,5.62
518,cemetery,-5.823123138475976e-06,3.49
519,donor,-5.821286843581767e-06,6.57
520,plane,-5.820885232031489e-06,5.72
521,clay,-5.807645160783917e-06,5.45
522,nightmare,-5.804608740882233e-06,1.79
523,kitten,-5.8003726919516234e-06,7.58
524,stunt,-5.799117268528997e-06,4.95
525,prosecutor,-5.7976244457346815e-06,3.55
526,dismiss,-5.7971741385372105e-06,4.58
527,crew,-5.7957737458094565e-06,5.83
528,conspicuous,-5.7865097635861895e-06,4.05
529,clue,-5.782766718537743e-06,5.38
530,buck,-5.781365582950713e-06,6.5
531,noble,-5.773890201945149e-06,7.16
532,suburb,-5.773637926886668e-06,5.52
533,vendor,-5.771292118715114e-06,5.29
534,forecast,-5.765092325736056e-06,4.89
535,concerned,-5.755506198376847e-06,4.61
536,futile,-5.751527232260764e-06,3.82
537,punishment,-5.745442915834158e-06,2.76
538,suspension,-5.739419706986733e-06,4.35
539,venom,-5.739344235801876e-06,2.93
540,toilet,-5.738664519541747e-06,3.71
541,render,-5.738171154345828e-06,4.86
542,rally,-5.737864599559711e-06,4.71
543,waitress,-5.736162297029224e-06,5.1
544,humor,-5.733622241911307e-06,7.75
545,gleaming,-5.732933530907473e-06,6.22
546,output,-5.7287790607903994e-06,4.85
547,lens,-5.725383417613313e-06,5.42
548,corruption,-5.7239448002986e-06,3.0
549,poor,-5.721860948503555e-06,3.67
550,operation,-5.720933291040084e-06,2.94
551,guinea,-5.717853868577095e-06,5.5
552,unnecessary,-5.714714303976913e-06,4.62
553,deny,-5.699486733503252e-06,3.81
554,swat,-5.694184281770931e-06,4.38
555,shining,-5.69291874053431e-06,5.84
556,punt,-5.689508041023296e-06,4.62
557,radiation,-5.6893091713490955e-06,3.32
558,beg,-5.68875519016641e-06,3.72
559,condition,-5.6876349341846806e-06,4.32
560,spectator,-5.6870926235010515e-06,5.58
561,papa,-5.677938302568394e-06,7.0
562,hunger,-5.666037169047011e-06,3.2
563,alpha,-5.664194779964667e-06,5.5
564,gun,-5.659595446504351e-06,3.66
565,insist,-5.653846840110733e-06,4.42
566,mainstream,-5.651167337278329e-06,4.55
567,absorb,-5.641774205071097e-06,5.5
568,mad,-5.640513614159638e-06,2.47
569,sermon,-5.64001581804599e-06,4.86
570,basement,-5.629531953948534e-06,4.81
571,brow,-5.629202570683273e-06,5.11
572,fat,-5.628398152344137e-06,2.74
573,puddle,-5.627597615936238e-06,4.3
574,aware,-5.623560297509469e-06,6.86
575,banker,-5.621959517282393e-06,4.89
576,tag,-5.6168039313705025e-06,4.79
577,anger,-5.611171230413253e-06,2.5
578,laptop,-5.6072940495116574e-06,6.95
579,seasonal,-5.606647659926282e-06,6.58
580,democratic,-5.60377907210728e-06,5.7
581,graveyard,-5.601733635490364e-06,3.25
582,concern,-5.598956226607023e-06,5.05
583,punish,-5.598537000782054e-06,2.86
584,evolutionary,-5.589106942464432e-06,5.62
585,disappear,-5.586997734632025e-06,4.1
586,shuffling,-5.581495180826772e-06,4.85
587,download,-5.577663410277767e-06,6.0
588,copyright,-5.555843785602412e-06,4.43
589,hoax,-5.550681101048245e-06,3.85
590,imagine,-5.547810842014709e-06,7.2
591,intuitive,-5.547624074573329e-06,6.0
592,assistant,-5.546742917299461e-06,5.91
593,feud,-5.544997408605627e-06,4.04
594,blur,-5.54192927588523e-06,4.45
595,anarchy,-5.537643833917409e-06,3.68
596,distinctive,-5.534133660764495e-06,6.32
597,longtime,-5.528347854774224e-06,5.5
598,scare,-5.5265002015704095e-06,3.55
599,zoom,-5.506879953874842e-06,5.86
600,huff,-5.494885729299496e-06,4.4
601,reality,-5.491683622590175e-06,5.73
602,stance,-5.490566780360269e-06,6.1
603,tempo,-5.490443537704219e-06,5.59
604,stake,-5.486265063543664e-06,4.78
605,correct,-5.482046989915758e-06,6.94
606,blackmail,-5.4779669760492604e-06,2.59
607,aging,-5.473578761536145e-06,3.0
608,uncomfortable,-5.472309440008533e-06,2.7
609,excuse,-5.4715086676843105e-06,4.52
610,underlying,-5.466294987589021e-06,4.87
611,companion,-5.461496396574894e-06,7.25
612,spokesman,-5.458937591469688e-06,4.9
613,stray,-5.452249039887789e-06,4.14
614,unconscious,-5.445687123217647e-06,3.81
615,interrupt,-5.444398539791728e-06,3.26
616,interference,-5.4422666170816e-06,4.71
617,coincidence,-5.441097548121905e-06,5.58
618,pretend,-5.435155726785256e-06,4.62
619,availability,-5.433020090002867e-06,5.68
620,leader,-5.431523425357558e-06,6.24
621,contrary,-5.430490689239953e-06,4.5
622,claim,-5.422635328420541e-06,5.15
623,selective,-5.41576971092167e-06,5.21
624,multitude,-5.415344934048272e-06,5.0
625,contractor,-5.4149352595826245e-06,4.7
626,restrict,-5.412425551266457e-06,3.48
627,burial,-5.406940668502242e-06,2.65
628,sector,-5.401862944462779e-06,4.67
629,stink,-5.399551496937113e-06,2.35
630,annoyance,-5.397933945131457e-06,2.95
631,habit,-5.3890917434661045e-06,5.2
632,elm,-5.3869156863665946e-06,6.32
633,terror,-5.380624794592325e-06,2.75
634,death,-5.380459457474465e-06,1.89
