"feat","avg(vad_eb.V)","avg(vad_eb.A)","avg(vad_eb.D)","avg(vad_eb.V > 3)","avg(vad_eb.A > 3)","avg(vad_eb.D > 3)"
"07/01","3.000000","2.780000","2.890000","0.0000","0.0000","0.0000"
"08","2.820000","2.995000","2.950000","0.0000","0.5000","0.0000"
"08:14","3.200000","3.100000","3.400000","1.0000","1.0000","1.0000"
"08:53","3.300000","3.500000","3.000000","1.0000","1.0000","0.0000"
"09","3.000000","2.970000","3.145000","0.0000","0.5000","0.5000"
"09:08","3.000000","3.000000","3.250000","0.0000","0.0000","1.0000"
"09:10","3.300000","3.500000","3.000000","1.0000","1.0000","0.0000"
"09:12","2.400000","3.200000","3.200000","0.0000","1.0000","1.0000"
"09:42","4.110000","4.000000","3.110000","1.0000","1.0000","1.0000"
"09:57","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"1","2.979792","2.985208","3.087292","0.3542","0.3333","0.6667"
"1 800 423-4343","3.000000","2.800000","2.900000","0.0000","0.0000","0.0000"
"1 800 741-9302","3.000000","2.670000","3.000000","0.0000","0.0000","0.0000"
"1,000","3.192000","3.236667","3.136000","0.7333","0.8000","0.6000"
"1,000-","2.900000","3.000000","2.900000","0.0000","0.0000","0.0000"
"1,095","2.630000","2.750000","2.880000","0.0000","0.0000","0.0000"
"1,100","2.800000","2.990000","3.190000","0.0000","0.5000","0.5000"
"1,200","3.393333","3.153333","3.323333","1.0000","0.6667","1.0000"
"1,305","3.000000","3.100000","3.200000","0.0000","1.0000","1.0000"
"1,400","3.500000","3.370000","3.500000","1.0000","1.0000","1.0000"
"1,400-","3.270000","2.910000","3.180000","1.0000","0.0000","1.0000"
"1,500","3.010000","3.000000","2.900000","0.5000","0.0000","0.0000"
"1,590","2.880000","3.000000","3.000000","0.0000","0.0000","0.0000"
"1,800","3.000000","2.880000","3.250000","0.0000","0.0000","1.0000"
"1,890","2.700000","3.300000","3.000000","0.0000","1.0000","0.0000"
"1,900","3.033333","3.366667","3.066667","0.3333","0.3333","0.3333"
"1-800-332-4483","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"1-800-435-7352","3.100000","3.000000","3.200000","1.0000","0.0000","1.0000"
"1-800-552-9963","3.000000","2.780000","3.000000","0.0000","0.0000","0.0000"
"1-800-732-0999","3.000000","3.000000","3.200000","0.0000","0.0000","1.0000"
"1-800-822-2841","3.600000","3.700000","3.400000","1.0000","1.0000","1.0000"
"1-888-236-6167","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"1-plane","2.370000","3.250000","2.630000","0.0000","1.0000","0.0000"
"1.125","2.650000","2.900000","2.800000","0.0000","0.5000","0.0000"
"1.24","2.640000","2.910000","3.000000","0.0000","0.0000","0.0000"
"1.26","3.200000","3.100000","3.000000","1.0000","1.0000","0.0000"
"1.35","3.290000","3.140000","3.290000","1.0000","1.0000","1.0000"
"1.4","2.900000","3.100000","3.000000","0.0000","1.0000","0.0000"
"1.5","2.866667","3.000000","2.966667","0.0000","0.3333","0.3333"
"1.55","3.380000","3.000000","3.250000","1.0000","0.0000","1.0000"
"1.59","3.600000","3.200000","3.200000","1.0000","1.0000","1.0000"
"1.61","2.800000","3.000000","3.100000","0.0000","0.0000","1.0000"
"1.64","3.200000","3.100000","3.000000","1.0000","1.0000","0.0000"
"1.65","2.992500","3.020000","3.050000","0.5000","0.5000","0.5000"
"1.76","3.190000","3.000000","3.125000","0.5000","0.0000","0.5000"
"1.8","3.000000","3.000000","3.100000","0.0000","0.0000","1.0000"
"1.9","3.100000","3.000000","2.900000","1.0000","0.0000","0.0000"
"1.92","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"1/2","3.000000","2.630000","3.120000","0.0000","0.0000","1.0000"
"1/50083541","3.000000","2.800000","2.900000","0.0000","0.0000","0.0000"
"1/7","2.700000","2.700000","3.200000","0.0000","0.0000","1.0000"
"10","2.889818","3.008364","2.991636","0.2727","0.3091","0.3091"
"10,000","3.216000","3.144000","3.080000","0.6000","0.6000","0.6000"
"10-28","3.100000","3.100000","3.100000","1.0000","1.0000","1.0000"
"10-man","3.000000","2.900000","2.900000","0.0000","0.0000","0.0000"
"10-month-old","2.600000","3.200000","3.200000","0.0000","1.0000","1.0000"
"10.2","3.100000","3.000000","3.100000","1.0000","0.0000","1.0000"
"10.3","3.000000","2.750000","3.000000","0.0000","0.0000","0.0000"
"10.5","3.200000","2.500000","3.000000","1.0000","0.0000","0.0000"
"100","3.023824","3.020882","3.093529","0.5294","0.4118","0.5882"
"100-peso","2.880000","3.000000","2.880000","0.0000","0.0000","0.0000"
"1000","3.600000","3.700000","3.400000","1.0000","1.0000","1.0000"
"10003-9562","3.000000","2.400000","3.000000","0.0000","0.0000","0.0000"
"10009","3.000000","2.750000","3.000000","0.0000","0.0000","0.0000"
"10010","3.000000","2.800000","2.700000","0.0000","0.0000","0.0000"
"10128president","3.000000","2.890000","3.000000","0.0000","0.0000","0.0000"
"102","3.880000","3.370000","3.380000","1.0000","1.0000","1.0000"
"10271","3.050000","2.560000","3.000000","0.5000","0.0000","0.0000"
"103","2.620000","3.095000","3.055000","0.0000","1.0000","0.5000"
"105","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"1089-1096","3.120000","2.750000","3.000000","1.0000","0.0000","0.0000"
"109","2.950000","2.850000","2.900000","0.0000","0.0000","0.0000"
"10:06","3.000000","2.500000","3.000000","0.0000","0.0000","0.0000"
"10:17","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"10:20","3.000000","2.780000","3.000000","0.0000","0.0000","0.0000"
"10:30","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"10:33","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"10:41","3.000000","2.860000","3.140000","0.0000","0.0000","1.0000"
"10:52","3.000000","2.500000","2.900000","0.0000","0.0000","0.0000"
"10:57","3.000000","2.400000","3.000000","0.0000","0.0000","0.0000"
"10a","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"10am","3.062500","2.899167","3.186667","0.5000","0.1667","0.9167"
"10pm","3.310000","3.065000","3.145000","0.5000","0.5000","1.0000"
"11","2.916957","3.037391","2.999565","0.2174","0.3913","0.2174"
"11,2000","3.100000","2.900000","2.900000","1.0000","0.0000","0.0000"
"11-game","2.710000","2.860000","3.140000","0.0000","0.0000","1.0000"
"11.5","2.600000","2.800000","3.000000","0.0000","0.0000","0.0000"
"110","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"113","3.105000","3.045000","3.105000","0.7500","0.5000","0.7500"
"1150","3.000000","2.500000","2.880000","0.0000","0.0000","0.0000"
"116","2.910000","2.730000","3.090000","0.0000","0.0000","1.0000"
"1163","3.000000","2.780000","3.000000","0.0000","0.0000","0.0000"
"11743-0830","2.900000","3.000000","3.000000","0.0000","0.0000","0.0000"
"11787-2976","2.900000","2.400000","3.100000","0.0000","0.0000","1.0000"
"11:11","3.000000","2.500000","3.000000","0.0000","0.0000","0.0000"
"11:20","3.000000","2.500000","3.170000","0.0000","0.0000","1.0000"
"11:43","3.000000","2.630000","3.000000","0.0000","0.0000","0.0000"
"11th","2.500000","3.200000","2.900000","0.0000","1.0000","0.0000"
"12","3.002143","2.997857","3.080714","0.5000","0.3571","0.5714"
"12,000","3.250000","3.150000","3.250000","0.5000","0.5000","0.5000"
"12,500","2.000000","3.250000","3.500000","0.0000","1.0000","1.0000"
"12,800","3.120000","2.880000","3.120000","1.0000","0.0000","1.0000"
"12-hour","2.765000","2.915000","3.155000","0.0000","0.0000","1.0000"
"12-month","3.100000","3.000000","3.100000","1.0000","0.0000","1.0000"
"12.09","2.780000","2.670000","2.780000","0.0000","0.0000","0.0000"
"12.5","3.100000","3.012500","3.200000","0.5000","0.5000","0.7500"
"12.97","3.000000","2.430000","3.000000","0.0000","0.0000","0.0000"
"120","3.050000","2.560000","3.000000","0.5000","0.0000","0.0000"
"120-passenger","3.000000","3.000000","3.200000","0.0000","0.0000","1.0000"
"1200","3.000000","2.670000","3.220000","0.0000","0.0000","1.0000"
"12024636308","3.000000","2.700000","3.100000","0.0000","0.0000","1.0000"
"122","3.000000","3.000000","3.200000","0.0000","0.0000","1.0000"
"1234","3.055000","2.815000","3.110000","0.5000","0.0000","0.5000"
"125","2.620000","3.000000","2.880000","0.0000","0.0000","0.0000"
"1279","3.100000","3.100000","3.000000","1.0000","1.0000","0.0000"
"129","2.000000","3.500000","2.330000","0.0000","1.0000","0.0000"
"12:07","2.800000","3.000000","3.200000","0.0000","0.0000","1.0000"
"12:17","2.800000","3.200000","2.700000","0.0000","1.0000","0.0000"
"12:18","3.100000","2.900000","3.000000","1.0000","0.0000","0.0000"
"12:22","3.710000","3.430000","3.290000","1.0000","1.0000","1.0000"
"12:23","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"12:35","3.600000","3.200000","3.100000","1.0000","1.0000","1.0000"
"12:39","2.880000","1.870000","3.000000","0.0000","0.0000","0.0000"
"12:54","3.000000","2.550000","3.090000","0.0000","0.0000","1.0000"
"12:59","2.800000","3.200000","2.900000","0.0000","1.0000","0.0000"
"12th","3.200000","3.200000","3.100000","1.0000","1.0000","1.0000"
"13","3.025625","2.886875","3.025000","0.3750","0.1250","0.4375"
"13-hour","2.900000","3.000000","2.800000","0.0000","0.0000","0.0000"
"13.5","3.140000","2.860000","3.140000","1.0000","0.0000","1.0000"
"13.625","2.700000","2.600000","2.600000","0.0000","0.0000","0.0000"
"13.65","3.100000","2.800000","3.050000","1.0000","0.0000","0.5000"
"130","2.590000","3.167500","2.980000","0.2500","0.7500","0.5000"
"131","3.000000","3.000000","3.050000","0.0000","0.0000","0.5000"
"132","3.100000","3.100000","3.100000","1.0000","1.0000","1.0000"
"133","2.750000","2.880000","3.000000","0.0000","0.0000","0.0000"
"134-141","3.000000","2.670000","3.110000","0.0000","0.0000","1.0000"
"1368","3.100000","3.100000","3.000000","1.0000","1.0000","0.0000"
"1380","3.000000","2.700000","2.900000","0.0000","0.0000","0.0000"
"14","2.977692","2.968462","3.020000","0.3077","0.3846","0.3846"
"14-hour","2.750000","2.880000","3.120000","0.0000","0.0000","1.0000"
"14-km","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"14-year-old","2.140000","3.570000","3.140000","0.0000","1.0000","1.0000"
"14.43","3.380000","3.380000","3.120000","1.0000","1.0000","1.0000"
"14.75","2.730000","3.180000","2.640000","0.0000","1.0000","0.0000"
"140","3.120000","3.340000","3.105000","0.5000","1.0000","0.5000"
"140k","3.500000","3.100000","3.100000","1.0000","1.0000","1.0000"
"141","2.830000","2.670000","3.170000","0.0000","0.0000","1.0000"
"142","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"144","3.180000","2.910000","3.180000","1.0000","0.0000","1.0000"
"148","3.100000","2.800000","3.000000","1.0000","0.0000","0.0000"
"149","3.015000","2.635000","3.185000","0.5000","0.0000","1.0000"
"149-155","3.000000","2.860000","3.140000","0.0000","0.0000","1.0000"
"14th","3.100000","3.000000","2.900000","1.0000","0.0000","0.0000"
"15","2.982558","3.029535","3.056512","0.4884","0.5116","0.5814"
"15,000","3.306667","3.116667","3.280000","0.6667","0.6667","1.0000"
"15-year","2.800000","3.200000","2.800000","0.0000","1.0000","0.0000"
"150","2.965000","2.983333","3.003333","0.0000","0.3333","0.5000"
"1500","3.310000","3.110000","3.110000","1.0000","1.0000","1.0000"
"150th","3.330000","3.220000","3.000000","1.0000","1.0000","0.0000"
"1513","3.140000","2.710000","3.000000","1.0000","0.0000","0.0000"
"153","3.100000","2.800000","3.000000","1.0000","0.0000","0.0000"
"155","3.100000","3.100000","3.000000","1.0000","1.0000","0.0000"
"155-191","2.880000","2.750000","2.880000","0.0000","0.0000","0.0000"
"155-210","3.000000","2.600000","3.200000","0.0000","0.0000","1.0000"
"155-233","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"155-degree","3.000000","2.900000","2.900000","0.0000","0.0000","0.0000"
"1557","3.000000","2.700000","2.800000","0.0000","0.0000","0.0000"
"157-158","3.235000","2.820000","3.135000","1.0000","0.0000","0.5000"
"1576","3.000000","2.900000","3.100000","0.0000","0.0000","1.0000"
"158","2.820000","2.820000","2.910000","0.0000","0.0000","0.0000"
"159","2.950000","2.750000","3.000000","0.0000","0.0000","0.0000"
"16","3.141176","3.021176","3.137647","0.4706","0.4118","0.6471"
"16,000","3.020000","3.236667","3.220000","0.6667","0.6667","1.0000"
"16.7","3.100000","2.800000","2.900000","1.0000","0.0000","0.0000"
"162-164","3.000000","3.000000","3.100000","0.0000","0.0000","1.0000"
"1622","3.110000","3.220000","3.000000","1.0000","1.0000","0.0000"
"1644","3.100000","3.100000","3.000000","1.0000","1.0000","0.0000"
"165","2.966667","2.890000","3.090000","0.0000","0.3333","0.6667"
"168-170","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"169","3.290000","3.140000","3.140000","1.0000","1.0000","1.0000"
"16th-century","3.105000","3.105000","3.000000","1.0000","1.0000","0.0000"
"17","3.016000","2.972000","3.025000","0.3000","0.3000","0.4000"
"17-story","3.100000","3.100000","3.000000","1.0000","1.0000","0.0000"
"17.3","2.915000","2.785000","3.085000","0.0000","0.0000","0.5000"
"170","2.745000","3.055000","2.995000","0.5000","0.5000","0.5000"
"172","3.000000","2.600000","3.000000","0.0000","0.0000","0.0000"
"173","3.350000","2.955000","3.245000","0.5000","0.5000","1.0000"
"174","2.900000","2.800000","3.100000","0.0000","0.0000","1.0000"
"175","3.000000","2.900000","2.950000","0.5000","0.0000","0.0000"
"177-178","2.700000","2.900000","2.900000","0.0000","0.0000","0.0000"
"1783","3.500000","3.400000","3.300000","1.0000","1.0000","1.0000"
"1792","3.120000","2.500000","3.250000","1.0000","0.0000","1.0000"
"1798","3.000000","3.000000","3.200000","0.0000","0.0000","1.0000"
"17:31","2.800000","3.000000","3.100000","0.0000","0.0000","1.0000"
"17th","2.926667","3.103333","3.140000","0.0000","1.0000","0.6667"
"17th-century","3.200000","2.996000","3.060000","0.8000","0.4000","0.4000"
"18","2.797500","2.894375","3.007500","0.1250","0.1875","0.3125"
"18-a-share","3.200000","3.100000","3.100000","1.0000","1.0000","1.0000"
"18-hole","3.270000","3.070000","3.120000","1.0000","0.5000","1.0000"
"18-member","2.500000","3.300000","3.300000","0.0000","1.0000","1.0000"
"18-month","3.200000","3.000000","3.200000","1.0000","0.0000","1.0000"
"18-years","3.290000","3.140000","3.000000","1.0000","1.0000","0.0000"
"180","3.100000","2.800000","3.000000","1.0000","0.0000","0.0000"
"1800s","2.945000","3.100000","2.950000","0.5000","0.5000","0.0000"
"1802","3.100000","3.100000","3.100000","1.0000","1.0000","1.0000"
"1804","3.100000","3.100000","3.200000","1.0000","1.0000","1.0000"
"1805","2.900000","3.000000","3.000000","0.0000","0.0000","0.0000"
"181","2.900000","3.300000","3.100000","0.0000","1.0000","1.0000"
"182","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"1829","3.200000","2.900000","3.200000","1.0000","0.0000","1.0000"
"183","2.800000","2.800000","3.100000","0.0000","0.0000","1.0000"
"1835","2.800000","3.000000","3.200000","0.0000","0.0000","1.0000"
"1844","3.050000","2.975000","3.050000","0.5000","0.5000","0.5000"
"1847","3.200000","3.200000","3.000000","1.0000","1.0000","0.0000"
"1849","3.200000","3.200000","3.000000","1.0000","1.0000","0.0000"
"1850","3.120000","2.500000","3.250000","1.0000","0.0000","1.0000"
"1855","3.000000","3.000000","3.200000","0.0000","0.0000","1.0000"
"1858","2.200000","3.100000","2.400000","0.0000","1.0000","0.0000"
"1865","3.150000","3.050000","3.100000","1.0000","0.5000","0.5000"
"1866","3.250000","2.715000","3.015000","0.5000","0.5000","0.5000"
"1869","3.000000","3.100000","3.000000","0.0000","1.0000","0.0000"
"187","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"1870s","2.800000","3.000000","3.100000","0.0000","0.0000","1.0000"
"1880","3.110000","2.890000","3.110000","1.0000","0.0000","1.0000"
"1886","3.100000","3.000000","3.100000","1.0000","0.0000","1.0000"
"1888","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"1892","3.000000","2.500000","3.000000","0.0000","0.0000","0.0000"
"1897","3.000000","2.800000","2.900000","0.0000","0.0000","0.0000"
"18th","2.800000","3.100000","3.000000","0.0000","1.0000","0.0000"
"18th-century","3.000000","2.880000","3.250000","0.0000","0.0000","1.0000"
"19","3.018182","2.890000","3.047273","0.3636","0.1818","0.3636"
"19.50","3.300000","3.200000","3.400000","1.0000","1.0000","1.0000"
"1900s","2.710000","3.100000","2.890000","0.0000","0.5000","0.0000"
"1903","2.905000","3.165000","3.200000","0.5000","0.5000","1.0000"
"1904","3.000000","3.000000","2.900000","0.0000","0.0000","0.0000"
"1905","3.440000","3.016667","3.066667","1.0000","0.6667","0.6667"
"1906","3.200000","3.300000","3.100000","1.0000","1.0000","1.0000"
"1907","3.200000","3.300000","3.100000","1.0000","1.0000","1.0000"
"1909","3.000000","3.000000","3.170000","0.0000","0.0000","1.0000"
"191","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"1912","3.000000","2.880000","3.000000","0.0000","0.0000","0.0000"
"1915","3.290000","3.000000","3.140000","1.0000","0.0000","1.0000"
"1917","3.000000","2.710000","3.000000","0.0000","0.0000","0.0000"
"1919","2.900000","3.200000","3.000000","0.0000","1.0000","0.0000"
"192-197","2.900000","3.100000","3.100000","0.0000","1.0000","1.0000"
"1920s","2.960000","2.910000","3.225000","0.2500","0.2500","1.0000"
"1925","3.000000","2.330000","2.830000","0.0000","0.0000","0.0000"
"1926","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"1928","3.250000","3.120000","3.120000","1.0000","1.0000","1.0000"
"193","2.750000","3.000000","2.880000","0.0000","0.0000","0.0000"
"1931","3.066667","3.033333","3.033333","0.6667","0.6667","0.3333"
"1933","3.082000","2.966000","3.078000","0.6000","0.2000","0.6000"
"1935","3.050000","3.150000","3.100000","0.5000","1.0000","1.0000"
"1940s","3.140000","2.710000","3.000000","1.0000","0.0000","0.0000"
"1941","3.000000","2.800000","2.900000","0.0000","0.0000","0.0000"
"1943","2.900000","2.750000","3.100000","0.0000","0.0000","0.5000"
"1944","2.950000","2.890000","3.175000","0.0000","0.0000","1.0000"
"1945","2.926667","2.940000","2.836667","0.3333","0.3333","0.0000"
"1946","3.100000","3.000000","3.000000","1.0000","0.0000","0.0000"
"1947","2.200000","3.100000","2.800000","0.0000","1.0000","0.0000"
"195","3.000000","2.790000","3.150000","0.0000","0.5000","0.5000"
"1950s","3.040000","2.970000","3.110000","0.3333","0.3333","0.6667"
"1954","2.940000","3.100000","3.090000","0.0000","0.5000","0.5000"
"1957","3.250000","3.120000","3.250000","1.0000","1.0000","1.0000"
"1958","3.000000","2.900000","3.200000","0.0000","0.0000","1.0000"
"1960","3.000000","2.875000","3.000000","0.0000","0.0000","0.0000"
"1960s","3.100000","3.000000","3.050000","0.5000","0.0000","0.5000"
"1961","3.200000","3.000000","3.000000","1.0000","0.0000","0.0000"
"1962","3.000000","2.880000","3.120000","0.0000","0.0000","1.0000"
"1963","2.890000","3.440000","3.330000","0.0000","1.0000","1.0000"
"1966","3.000000","3.000000","2.820000","0.0000","0.0000","0.0000"
"1968","2.600000","3.000000","3.100000","0.0000","0.0000","1.0000"
"1970","3.270000","3.090000","3.270000","1.0000","1.0000","1.0000"
"1970s","3.026667","2.936667","3.093333","0.3333","0.3333","0.6667"
"1973","3.045000","3.042500","3.230000","0.5000","0.5000","1.0000"
"1974","3.000000","3.000000","3.100000","0.0000","0.0000","1.0000"
"1975","3.000000","2.600000","2.900000","0.0000","0.0000","0.0000"
"1976","3.000000","3.000000","3.120000","0.0000","0.0000","1.0000"
"1977","2.666667","3.023333","2.966667","0.0000","0.3333","0.0000"
"1978","2.800000","2.900000","3.100000","0.0000","0.0000","1.0000"
"1979","2.910000","2.910000","2.820000","0.0000","0.0000","0.0000"
"198-209","2.900000","3.100000","3.100000","0.0000","1.0000","1.0000"
"1980","2.950000","2.975000","3.050000","0.0000","0.5000","0.5000"
"1980s","2.666667","3.133333","2.933333","0.0000","0.6667","0.0000"
"1981","2.753333","2.893333","3.096667","0.0000","0.3333","0.3333"
"1983","2.570000","2.860000","3.140000","0.0000","0.0000","1.0000"
"1984","3.220000","3.110000","3.330000","1.0000","1.0000","1.0000"
"1985","3.206667","3.193333","3.100000","0.6667","0.6667","0.6667"
"1986","2.940000","3.000000","3.060000","0.2000","0.2000","0.6000"
"1987","3.000000","2.880000","2.750000","0.0000","0.0000","0.0000"
"1988","2.893750","2.868750","3.020000","0.1250","0.2500","0.5000"
"1989","3.011429","2.964286","2.920000","0.4286","0.2857","0.1429"
"1990","2.956250","2.960000","3.007500","0.1250","0.0000","0.2500"
"1990s","2.900000","2.936000","2.960000","0.2000","0.4000","0.0000"
"1991","3.020000","2.876000","3.076000","0.4000","0.0000","0.6000"
"1992","3.163333","3.063333","3.151667","0.6667","0.5000","0.8333"
"1993","3.160000","2.964444","3.082222","0.5556","0.1111","0.5556"
"1994","3.000000","2.775000","2.950000","0.2500","0.2500","0.2500"
"1995","3.115625","2.908125","3.088125","0.3750","0.2500","0.6250"
"1996","2.945833","2.928333","3.015833","0.3333","0.2500","0.2500"
"1997","3.009333","2.957333","3.008667","0.4000","0.4000","0.4000"
"1998","3.073889","3.042222","3.086667","0.4444","0.5556","0.6111"
"1999","3.019310","2.904828","3.006207","0.2414","0.2069","0.2759"
"19th","3.003750","2.872500","2.991250","0.2500","0.1250","0.2500"
"19th-century","3.100000","2.900000","3.000000","1.0000","0.0000","0.0000"
"1:02","3.000000","2.710000","3.000000","0.0000","0.0000","0.0000"
"1:06","3.000000","2.600000","3.000000","0.0000","0.0000","0.0000"
"1:29","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"1cm","3.100000","2.800000","3.200000","1.0000","0.0000","1.0000"
"1se3","3.000000","2.800000","2.900000","0.0000","0.0000","0.0000"
"1st","3.000000","3.000000","3.110000","0.0000","0.0000","1.0000"
"2","2.970851","3.008511","3.107234","0.3191","0.3617","0.5957"
"2,000","3.185000","2.790000","3.090000","0.5000","0.0000","0.5000"
"2-3","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"2-4","2.700000","2.900000","2.800000","0.0000","0.0000","0.0000"
"2-6","3.120000","2.620000","2.880000","1.0000","0.0000","0.0000"
"2-mile","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"2.0","3.365000","3.145000","3.070000","1.0000","0.5000","0.5000"
"2.1","3.145000","3.010000","3.130000","0.5000","0.5000","1.0000"
"2.3","2.900000","3.000000","3.160000","0.0000","0.0000","1.0000"
"2.35","3.000000","3.000000","3.100000","0.0000","0.0000","1.0000"
"2.42","3.000000","2.900000","2.900000","0.0000","0.0000","0.0000"
"2.46","3.000000","2.900000","2.900000","0.0000","0.0000","0.0000"
"2.5","2.887500","3.150000","2.877500","0.5000","0.7500","0.2500"
"2.50","3.200000","3.100000","3.100000","1.0000","1.0000","1.0000"
"2.7","3.200000","3.000000","3.200000","1.0000","0.0000","1.0000"
"2.8","3.000000","2.640000","3.000000","0.0000","0.0000","0.0000"
