	tokens	ratings
115	route	2.9905717
116	reduce	2.7942991
117	confronted	2.606444
118	partly	2.6213336
119	confident	4.1835814
120	mud	2.6099067
121	sum	3.25431
122	padraic	3.226342
123	cart	3.138276
124	rise	2.6494503
125	scruffy	3.0311706
126	fertility	3.3366222
127	taijiquan	2.967125
128	fm	3.23214
129	vacant	2.606444
130	incensed	2.606444
131	expect	2.9265654
132	tray	3.1857238
133	kept	2.9427505
134	annoying	2.606444
135	montreal	2.8974433
136	referred	2.9908051
137	learn	3.3286963
138	holding	2.714264
139	toward	3.0065951
140	dried	2.7751157
141	bumped	2.6081233
142	damages	2.606444
143	sanctuaries	3.341839
144	congressman	2.781673
145	housing	2.8669147
146	productivity	3.0773313
147	canyon	2.7957852
148	opposing	2.6223178
149	colin	3.138602
150	sharecroppers	2.606444
151	alone	2.6073158
152	manager	3.0635328
153	3360	2.9269567
154	71	2.9566386
155	reign	2.6083925
156	employs	2.9752011
157	justified	2.6067796
158	katrina	2.617561
159	qualities	3.7983656
160	staid	2.825526
161	maturity	3.0827398
162	scan	3.0176976
163	approvingly	3.873833
164	so	2.9914804
165	rick	2.981923
166	noted	2.977483
167	die	2.606444
168	seem	2.60948
169	renovating	3.876318
170	potential	3.305893
171	jack	2.7461543
172	tuning	3.1499963
173	eco	3.701326
174	argue	2.623382
175	634	2.9963763
176	boots	2.6421802
177	accidental	2.606444
178	unkempt	2.606444
179	deceptive	2.606444
180	tackling	2.911176
181	exercise	3.0451498
182	pink	3.2469018
183	patroller	2.9903607
184	slammed	2.606444
185	landmark	3.817139
186	feeding	2.726367
187	cars	3.0268042
188	sleeve	3.0413241
189	township	3.0523458
190	deal	2.827371
191	transformation	3.4748366
192	termination	2.606444
193	diversity	3.6608596
194	coal	2.6168063
195	bono	3.1594467
196	uplifted	4.42187
197	fantasized	2.91571
198	cesareans	2.9204652
199	undergone	2.9497588
200	bun	3.202017
201	corrupting	2.606444
202	809	2.9785757
203	strategic	3.0073953
204	present	2.9936702
205	nineteen	2.6582572
206	calculations	2.9228768
207	pig	2.9206064
208	bassoons	2.991347
209	halibut	3.3600264
210	fashioned	3.1617508
211	male	3.0799203
212	humanica	3.030321
213	ingrained	2.7818215
214	lodged	2.606444
215	phrase	2.9889054
216	mart	3.128428
217	success	4.35184
218	taylor	3.0004208
219	contrasting	3.0526485
220	31	2.9724402
221	reinstate	2.9182622
222	withdrawals	2.606444
223	disposition	3.1690133
224	11	2.8349836
225	healthier	4.3010154
226	cleansing	2.9745445
227	mafia	2.606444
228	sunnydale	2.8429453
229	disadvantageous	2.606444
230	satisfying	4.410852
231	greet	4.3472357
232	particular	2.966354
233	spurring	3.252698
234	influential	3.1449685
235	byways	3.2108111
236	subroutine	2.9590786
237	wheeled	3.0211835
238	distancing	2.606444
239	hillock	2.957882
240	protestors	2.606444
241	theirs	2.9456005
242	nouveau	3.0492926
243	phillips	2.96527
244	skeptical	3.139917
245	aware	2.6163807
246	spain	3.125688
247	tarragon	3.3959355
248	filters	3.0120516
249	melody	3.3475976
250	attributes	3.3406136
251	play	3.5365763
252	midday	3.0334835
253	detonation	2.606444
254	spoke	2.90234
255	wnba	3.236059
256	rested	3.4160523
257	terran	2.8447235
258	kelly	3.1948092
259	atlantic	3.1035807
260	rebuilding	2.830331
261	clubhouse	3.5653481
262	exempt	2.6462462
263	periodically	2.7333975
264	pretax	2.9839356
265	design	3.4016755
266	refugee	2.606444
267	whomever	2.8475375
268	revises	2.8716087
269	att	2.888473
270	especially	3.355276
271	jewellery	3.1777844
272	1960	3.0693135
273	speck	2.6317766
274	odds	3.559252
275	hot	3.2291117
276	furman	3.1290832
277	cooked	3.3942213
278	20	2.99109
279	zimbabwe	2.810156
280	mcginnis	2.611834
281	)—	3.030321
282	hampshire	3.352715
283	yards	3.0325592
284	scarlet	2.7997808
285	halls	2.8874488
286	clung	2.606689
287	sunk	2.606444
288	forgiven	2.6196108
289	intervallic	3.0178926
290	circumstances	2.6109936
291	enclosure	3.0885863
292	roadnewsletterhuntington	3.030321
293	serious	2.606444
294	fbi	2.606444
295	chernovsky	3.030321
296	administration	2.6091201
297	straps	2.786483
298	klute	3.030321
299	honestly	2.6199007
300	imagination	3.2714763
301	wholly	2.6214883
302	millionaire	2.740879
303	issue	2.6476405
304	delight	5.0959034
305	reliable	3.3401809
306	somebody	2.6148138
307	adulthood	3.087203
308	equus	3.0428061
309	sufficiency	3.0923173
310	stieglitz	3.030321
311	mars	3.0302484
312	boys	3.7925186
313	writer	2.7591467
314	compatibility	3.2923658
315	indication	2.9704094
316	holo	3.160481
317	lin	2.9780796
318	auditorium	3.2376885
319	futile	2.606444
320	understood	2.9416611
321	”;	3.030321
322	fetches	3.2308369
323	mayor	2.7911124
324	roman	3.0360906
325	rescue	2.70689
326	wafers	3.1230352
327	farce	2.606444
328	crescents	3.2314103
329	precisely	2.880419
330	operating	2.8359256
331	carphone	2.6398275
332	’	2.9666815
333	forecasters	2.8624704
334	modeled	3.1367562
335	missiles	2.606444
336	cardinals	2.9694095
337	improving	3.8137035
338	spokeswoman	2.6456714
339	incontestably	3.191987
340	pledge	3.0618837
341	162	2.8965223
342	cracking	2.732496
343	removed	2.6071794
344	dish	3.5092733
345	grown	3.2124343
346	gas	2.6073737
347	sony	2.6887817
348	enthralled	4.1350737
349	laces	3.06283
350	seatbelts	3.0272555
351	barely	2.6075344
352	characteristics	3.0290172
353	species	3.0205243
354	prosthetic	3.0897517
355	labors	3.500767
356	depositary	2.9758294
357	laboratory	3.043945
358	contradict	2.607362
359	sneakers	2.9967227
360	1995	3.0811372
361	ontario	2.791421
362	gleamed	3.4656436
363	modernity	3.116751
364	load	2.622162
365	1866	2.7798212
366	raunchy	3.4916062
367	married	3.4307241
368	wrapped	3.3035984
369	inventor	3.2310603
370	form	3.0068316
371	yachts	3.618239
372	jetfoil	3.1916802
373	importing	2.6089835
374	covers	3.0408325
375	lounge	3.6538296
376	396	2.9894168
377	iv	2.8615904
378	ignored	2.606444
379	reasoning	2.624529
380	entertainment	3.8555553
381	vista	3.2868016
382	fill	2.865757
383	plea	2.6069891
384	fulfills	4.137547
385	heiby	3.030321
386	disingenuous	2.606444
387	circuit	3.2563257
388	helps	3.9773228
389	statement	2.6776404
390	safety	2.6147192
391	imparted	3.2835486
392	realize	2.620112
393	revenue	2.928951
394	grandpa	3.5804672
395	nations	2.841866
396	wsj	2.93197
397	haggling	2.7972536
398	herbaceous	3.1933901
399	cycling	3.2444832
400	behavior	2.6761503
401	touch	3.1946216
402	halves	3.0715418
403	usda	2.9602582
404	allan	3.0341184
405	waivers	2.6966734
406	silence	2.606444
407	purchasing	3.0767338
408	egyptians	2.6625755
409	infertile	2.606444
410	ranking	2.978277
411	heartbeat	3.5380611
412	alert	2.6363153
413	78	2.995102
414	airliner	2.606444
415	laid	2.6066456
416	sales	3.2423832
417	nicely	3.860599
418	firmly	2.9951084
419	stunted	2.606444
420	based	2.9666018
421	tremendous	4.866537
422	babe	3.7793808
423	reeder	2.9703512
424	yourself	3.184174
425	character	3.073542
426	244	2.9794326
427	kam	3.1443124
428	kaplan	2.956673
429	speculation	2.629344
430	guncite	3.030321
431	azulejos	4.0480895
432	salsa	3.889368
433	malarial	2.6092002
434	since	2.8682709
435	hour	2.9767096
436	publicly	2.6084776
437	uncle	2.782914
438	convicting	2.6066568
439	arnold	2.9333787
440	vows	2.7534115
441	rodger	3.2705889
442	guaranteed	3.7325125
443	flotilla	2.6519845
444	victorian	3.1343548
445	autism	3.1498034
446	linguado	3.030321
447	cleric	2.6071787
448	mccann	2.8928607
449	5034	2.924152
450	wider	3.0403519
451	rip	2.606444
452	dj	3.4351075
453	flee	2.606444
454	april	3.034916
455	curried	3.536606
456	standstill	2.606444
457	tambo	3.4503055
458	unbearably	2.606444
459	accuse	2.606444
460	disappointment	2.606444
461	whale	3.0845485
462	mushrooms	3.4581904
463	compulsion	2.6312127
464	mobsters	2.606444
465	ruining	2.606444
466	spies	2.7050748
467	identical	2.9689393
468	channel	3.1026113
469	.-	2.8630548
470	discusses	3.0104892
471	flea	2.9596596
472	collapses	2.606444
473	chains	2.606444
474	whoops	2.606444
475	archaics	2.6151276
476	stalk	2.608261
477	poisonous	2.606444
478	mentors	3.8948963
479	elco	2.991552
480	ornamental	2.9879832
481	thrillville	3.030321
482	chrysler	2.873887
483	pan	3.0673938
484	helped	3.8624496
485	plus	3.7464137
486	intimate	3.2251108
487	companion	3.5021815
488	disguised	2.6174088
489	prepared	2.848452
490	ma	3.0780013
491	disc	3.1336372
492	ko	3.0784266
493	abdul	2.7714646
494	vacation	3.231839
495	gailhaguet	3.030321
496	greene	2.962246
497	kissed	3.6455727
498	7273	3.180935
499	space	3.2264671
500	among	3.3088164
501	dollop	4.015004
502	asks	2.7514477
503	evolutionary	3.048803
504	425	3.1468596
505	pittance	2.606444
506	mannered	3.2492435
507	liked	4.089467
508	abbott	2.6338212
509	mindsmith	3.030321
510	picks	3.0943422
511	nonwaiver	2.933756
512	woke	2.606444
513	1858	2.9097545
514	wasover	3.04447
515	screening	3.0837927
516	ak	2.977794
517	dopers	2.6201863
518	abandoned	2.606444
519	boundaries	2.958634
520	tower	2.7172308
521	stalks	2.606444
522	frustration	2.606444
523	toolkit	3.18152
524	calves	3.399398
525	merchant	2.8833432
526	burial	2.606444
527	forrester	3.0122561
528	court	2.8295403
529	transaction	3.1048996
530	sep	3.0638475
531	championship	3.709752
532	restrain	2.606444
533	400	3.251727
534	copied	2.8860042
535	underarm	2.973826
536	ge	2.9948792
537	panic	2.606444
538	hakka	3.2835398
539	crowds	2.9593022
540	compliance	2.9052072
541	olympic	3.3074975
542	attacked	2.606444
543	etc	2.8853242
544	gsas	2.9612029
545	obvious	2.6251516
546	faulty	2.606444
547	histories	2.9319215
548	willing	3.1121886
549	craft	3.7007613
550	thousandth	2.9248815
551	largest	3.265675
552	mistrust	2.606444
553	molina	2.9978707
554	amputee	3.2578526
555	esprit	3.5447106
556	karen	3.6709547
557	pesticides	2.606916
558	body	2.6560903
559	bridges	2.849828
560	emptiness	2.606444
561	rebound	2.799447
562	mikhail	2.9727569
563	eight	3.1041155
564	tonight	3.1828954
565	migrant	2.6065605
566	!”’	3.030321
567	vital	3.1986098
568	connect	3.2294824
569	redeemed	3.463306
570	turned	2.6242712
571	parkway	3.218721
572	fringe	2.89823
573	colorful	4.230291
574	warned	2.606444
575	next	3.1574316
576	reasonable	3.0393999
577	obviously	2.614248
578	enjoyment	4.4298987
579	splendor	4.1042795
580	please	2.9877148
581	grandmother	3.435336
582	meals	3.6528096
583	sheen	3.3003612
584	­­­	3.030321
585	hates	2.606444
586	pressure	2.611398
587	light	3.1152241
588	iland	3.58751
589	towers	2.6329846
590	krueger	2.6074674
591	kavalier	3.030321
592	bums	2.6770182
593	prescribers	2.9561498
594	gaping	2.606444
595	brand	3.3168144
596	consumed	2.606444
597	".""'"	3.030321
598	2859	3.0475407
599	rollers	3.188267
600	ethnic	2.7783027
601	distracts	2.606444
602	maryann	3.8794255
603	ip	2.7137234
604	423	2.972303
605	blinds	2.6154103
606	turkey	2.8757873
607	routine	3.1079495
608	storing	2.8115458
609	lifeless	2.606444
610	hiding	2.606444
611	hosts	3.8422947
612	paddle	3.1527379
613	towed	2.606561
614	divided	2.6440182
615	pressing	2.6985044
616	mgm	3.7030277
617	hirschauer	3.030321
618	treasury	3.2114227
619	depressed	2.606444
620	exposes	2.606444
621	forests	2.9893255
622	adopt	3.0100675
623	hacksaws	2.606444
624	mozartian	3.030321
625	feedback	3.6326656
626	lush	4.090874
627	cultures	3.646699
628	jour	3.1161523
629	fast	3.278007
630	mapping	3.0185156
631	veterinary	3.0767944
632	apricot	3.5890348
633	settled	3.0509424
634	joys	4.5006766
635	tripping	2.606444
636	archbishop	2.606674
637	seconds	2.9689028
638	ubs	2.98906
639	ascended	2.9842465
640	challenge	3.5180063
641	fetched	3.162868
642	alcoholic	2.606444
643	waldorf	3.0562134
644	essential	3.178607
645	roast	3.3436182
646	wide	3.4239874
647	marries	3.4689558
648	openly	2.7140923
649	opium	2.607951
650	racecourse	3.4655385
651	leave	2.606444
652	pets	3.6752596
653	seed	3.0155396
654	relatives	2.6065893
655	residential	3.0217066
656	anne	3.2460334
657	08	3.2142594
658	nestorian	2.7836478
659	generated	2.9993155
660	sounds	3.3568869
661	sexes	3.3774235
662	recognizes	3.4051824
663	questions	2.9661798
664	rigid	2.6187513
665	paradoxical	2.9579024
666	distributing	2.8752134
667	depicting	2.7493732
668	moored	3.0366912
669	riotous	2.7132823
670	stands	2.9996414
671	initiated	2.955966
672	plc	3.0048683
673	footage	2.6361523
674	farmland	2.907421
675	supermarkets	2.9822726
676	neuter	2.7515967
677	incorporeality	2.7645786
678	keeps	3.3908584
679	squares	3.234701
680	vancouver	3.0435266
681	involving	2.8547184
682	awakes	2.606444
683	cgi	2.7274988
684	nuys	3.0790236
685	liberators	3.270242
686	grimaced	2.606444
687	struggles	2.6065426
688	pressured	2.606444
689	logs	2.6317458
690	computer	2.616539
691	guarding	2.7604642
692	parents	2.7001855
693	pass	2.9345257
694	bates	2.7694192
695	toothache	2.606444
696	bringer	3.3869123
697	site	3.2005394
698	soils	2.8899662
699	silvermine	3.0264223
700	incorporates	3.5160723
701	silenced	2.606444
702	onions	2.9133632
703	squirrel	2.8086827
704	orchestras	3.4494045
705	owed	2.6362066
706	al	2.9925294
707	waging	2.6065235
708	mature	3.1944563
709	allowed	2.8187418
710	warm	4.4026823
711	intending	2.6074693
712	vintners	3.044303
713	brief	3.0131125
714	harvest	3.1076813
715	similarities	2.9744122
716	avoid	2.606444
717	horrible	2.606444
718	hammers	2.606444
719	payback	2.6459372
720	jaundiced	2.606444
721	appreciated	4.291491
722	genius	3.365467
723	utensils	2.9351034
724	origin	2.9547844
725	warmest	4.613651
726	vistas	3.9887745
727	cons	2.8857667
728	personally	2.6686175
729	twin	3.0869408
730	ups	3.2973666
731	insulted	2.606444
732	highland	3.3224716
733	timeout	2.6067436
734	intrinsically	2.8943624
735	fatah	2.606444
736	manages	3.061885
737	saddam	2.60663
738	applications	3.014172
739	cube	2.929895
740	danced	4.029415
741	if	2.679881
742	accident	2.606444
743	hap	2.9378283
744	shan	2.958816
745	dryer	3.0173936
746	reflected	3.0863798
747	evolved	3.1607559
748	1202463630848	3.030321
749	wishing	2.7528012
750	suffer	2.606444
751	sing	3.9746704
752	war	2.606444
753	objects	2.9777966
754	burgeoning	3.0380092
755	reflect	2.9617205
756	fidel	2.9624987
757	cast	3.0240982
758	davison	2.8763282
759	externally	2.9419546
760	theatre	3.3598552
761	aids	3.1249037
762	whitewash	2.606444
763	'	3.1232142
764	amicable	3.8921332
765	repeatedly	2.606444
766	booking	3.3101428
767	tourists	3.0879776
768	essentials	3.0441759
769	swingers	3.336326
770	finished	3.5152526
771	between	2.968869
772	formed	3.019228
773	everybody	4.1258497
774	advisers	2.7856953
775	fluke	2.864807
776	yeah	3.230202
777	communists	2.6068494
778	slope	2.924366
779	posture	2.9559994
780	headway	3.0270817
781	dissent	2.606444
782	speckled	3.1248014
783	extension	3.0163965
784	universally	3.3321943
785	waited	2.833613
786	967	2.8656566
787	gerald	3.020666
788	normal	2.8132231
789	anguish	2.606444
790	cheney	2.641986
791	steadily	2.919067
792	addressing	2.6921315
793	approaches	2.971595
794	tuesday	3.1021805
795	usually	2.7148619
796	tired	2.606444
797	appetite	3.1917994
798	251	2.94838
799	bedpan	2.747437
800	publish	2.8943207
801	mobile	3.0382483
802	stir	2.6083343
803	didier	3.2399502
804	ecosystems	2.983865
805	considered	2.9641364
806	hindered	2.606444
807	carpenter	2.994559
808	artifacts	3.046084
809	dying	2.606444
810	dress	3.2112777
811	advancement	3.2679453
812	lusk	2.8644009
813	ordeal	2.606444
814	association	3.0161223
815	rigueur	3.0302644
816	supervised	3.180078
817	objective	2.9851341
818	greece	2.997871
819	johnny	2.9107409
820	tractor	3.3766365
821	beams	3.6051097
822	brilliantly	4.0360126
823	horseback	3.0724695
824	000	3.0700347
825	mirrors	2.8973436
826	craftsmanship	4.1031685
827	heir	2.613715
828	frantic	2.606444
829	merged	2.9210103
830	fellowship	4.012532
831	178	2.9552872
832	façade	2.9953895
833	curriculum	2.9714603
834	automatically	2.9053001
835	supporting	3.621091
836	sapphire	3.2669713
837	invariably	2.6068614
838	seacrest	3.101021
839	swearengen	3.030321
840	turtles	3.6672378
841	checkout	3.4893064
842	growth	3.2523468
843	mayanists	3.030321
844	mindset	2.7853198
845	nicoise	3.3186526
846	sisyphian	3.030321
847	sammy	3.1761482
848	leaves	2.606499
849	swear	2.6069884
850	lost	2.606444
851	elsewhere	2.608698
852	residences	3.050671
853	leap	3.2575908
854	astronaut	3.3405116
855	7th	3.1261957
856	unabated	2.606444
857	cicoa	3.030321
858	advocate	3.0196354
859	top	3.2322807
860	holloway	2.853596
861	desensitize	2.606444
862	piques	3.0991132
863	common	2.9171083
864	newer	3.1400928
865	greed	2.606444
866	trappist	3.0062108
867	roller	3.2479496
868	tott	3.0182137
869	tormented	2.606444
870	];	3.030321
871	lanes	3.017679
872	ushering	3.7721841
873	wafer	3.0371604
874	recitals	3.6821723
875	mills	2.9141643
876	sensorimotor	2.9685009
877	)?	3.030321
878	excalibur	2.8011081
879	consummation	3.1532407
880	dodged	2.606444
881	invaluable	4.3154974
882	onic	2.9816499
883	defines	3.116232
884	5the	2.987493
885	knee	2.8229523
886	monolingual	2.6142108
887	culprit	2.606444
888	disap	2.606444
889	hsus	2.606444
890	revs	3.0663931
891	281	2.9971552
892	emancipation	3.0395088
893	swampland	2.6083672
894	chemical	2.6093364
895	everything	3.4338708
896	mischaracterized	2.606444
897	mile	3.071318
898	drivers	2.6571712
899	practicality	3.4067748
900	agreeing	2.6824079
901	guatemalan	3.0960765
902	magnesium	3.253315
903	festival	3.8676326
904	sticky	2.7249374
905	nine	3.0988533
906	97	3.03453
907	castle	3.1298192
908	conceive	3.0006876
909	landlord	2.606444
910	softer	3.1731448
911	strategy	2.967062
912	baskets	3.6419969
913	portugal	3.100079
914	figures	2.8829474
915	purposing	2.8215115
916	...	3.0890377
917	stabbed	2.606444
918	glistening	3.9183629
919	atlanta	3.0514457
920	king	2.8464675
921	need	2.8516808
922	implemented	2.966604
923	festered	2.606444
924	conquistador	2.9982517
925	doubts	2.7335908
926	printed	2.9796128
927	innovations	3.3950734
928	freegan	3.0334575
929	klm	3.6745887
930	films	3.52314
931	trek	3.3097808
932	cheeses	3.672494
933	nuke	2.606444
934	astute	3.225144
935	05	3.3207707
936	prepares	3.3518302
937	languages	3.4602714
938	zach	2.9904835
939	mandibles	2.658145
940	pressed	2.7279186
941	virtual	3.5806608
942	exercises	3.0027418
943	efficiency	3.3775117
944	1996	3.077343
945	1925	2.9989638
946	vacate	2.6073844
947	strictly	2.9559932
948	directions	3.0279574
949	blake	3.0220077
950	fenton	3.1008677
951	guerrillas	2.6090405
952	magnus	2.9688232
953	basque	3.5986147
954	empower	3.1633418
955	however	2.6922343
956	bolts	2.8011694
957	replace	2.821134
958	demonstrate	3.1876523
959	interpersonal	2.993668
960	plated	3.157195
961	sculptor	2.9594622
962	migratory	3.0422363
963	standard	3.0293021
964	limbs	2.6066957
965	repayment	2.9559786
966	closer	3.079188
967	imprisonment	2.606444
968	debris	2.606444
969	reach	3.1378882
970	ripple	2.9766343
971	idiot	2.606444
972	shovels	2.8259375
973	rejecting	2.606444
974	pak	3.2129812
975	camp	2.9548311
976	delectable	4.4417067
977	middlemen	2.606444
978	sonata	2.955985
979	y	3.011365
980	vindicates	2.6857536
981	belief	3.085512
982	hormone	3.095992
983	embargo	2.606444
984	escalate	2.606444
985	fabulously	4.4995766
986	meal	3.6703687
987	fucked	2.606444
988	medal	3.457426
989	ban	2.606644
990	cleaner	3.4790258
991	quotations	3.0212917
992	rigors	2.6869683
993	waists	3.1911848
994	sick	2.606444
995	urges	2.6643205
996	montedison	3.030321
997	vigil	2.606444
998	grad	3.2678745
999	environmentally	3.4865718
1000	fat	2.67673
1001	gorgeous	4.93841
1002	babysitter	2.617814
1003	bombshell	2.6084497
1004	craze	3.052711
1005	standouts	3.8765564
1006	headaches	2.606444
1007	citation	2.9625864
1008	poor	2.606444
1009	sparrow	2.8308983
1010	critics	2.6070004
1011	depiction	2.7502058
1012	heads	2.6361911
1013	martyr	2.606444
1014	descending	2.6174152
1015	amaze	4.336999
1016	multichannel	3.2887836
1017	reply	2.761098
1018	likelihood	2.6426418
1019	marathon	3.1919117
1020	needed	3.0066757
1021	slept	2.6066525
1022	sensing	2.971747
1023	140k	2.770299
1024	utterly	2.606444
1025	318	3.0283194
1026	zag	2.7016785
1027	bebe	3.301331
1028	susceptible	2.606444
1029	discernible	2.761753
1030	separate	2.9387558
1031	coins	3.1137807
1032	hispanic	2.712545
1033	conscription	2.6832283
1034	lords	2.704455
1035	nicaraguan	2.8139665
1036	blanc	3.118613
1037	pledged	3.0840743
1038	♭	2.9589956
1039	elm	2.7731614
1040	484	3.0246043
1041	submit	2.834926
1042	weighing	2.9627452
1043	1943	2.995666
1044	african	3.0314293
1045	richard	3.0096514
1046	string	2.885184
1047	reprieve	2.6076934
1048	1847	2.9305553
1049	blonde	3.184588
1050	destroying	2.606444
1051	awry	2.606444
1052	consult	2.9559846
1053	exhaustion	2.606444
1054	10128president	3.030321
1055	221	2.9682727
1056	sails	3.2139683
1057	underground	2.6235158
1058	ashley	3.211367
1059	parlors	3.4137406
1060	follow	2.9808905
1061	bloomberg	2.9538405
1062	sunshine	4.71815
1063	know	2.7853522
1064	andersson	3.4319797
1065	fixings	3.4493635
1066	,'	3.030321
1067	florally	3.3582566
1068	crested	2.956861
1069	1150	2.931773
1070	indians	2.7319438
1071	frustrated	2.606444
1072	navy	3.030446
1073	tour	3.8325562
1074	relegated	2.6065834
1075	symbols	2.9885082
1076	daniel	3.050441
1077	simon	3.0459237
1078	suit	2.9976215
1079	collisions	2.606444
1080	organize	3.192883
1081	puzzling	2.6085825
1082	whitewater	3.6008863
1083	confessional	2.6810932
1084	instance	2.659261
1085	dollar	3.5071566
1086	aggressors	2.606444
1087	tagging	3.1072702
1088	wag	3.108482
1089	heterosexuals	3.1971781
1090	locate	3.0384803
1091	faulted	2.606444
1092	urgency	2.6131365
1093	biological	3.0371394
1094	becomes	2.6076796
1095	bowen	3.0495174
1096	denise	3.653316
1097	riding	3.0515208
1098	externality	2.6184354
1099	performs	3.660931
1100	donated	3.983639
1101	fucking	2.606444
1102	literate	3.0575156
1103	matching	3.5287209
1104	griffith	3.0340984
1105	someplace	2.809688
1106	regional	3.0711136
1107	tennessee	2.8013642
1108	curable	3.0979238
1109	reunification	3.0969133
1110	conclusions	2.690278
1111	matthews	2.8517306
1112	cholesterol	3.1121795
1113	pistol	2.6336484
1114	respondents	2.806284
1115	weep	2.606444
1116	hunch	2.9382956
1117	energized	4.4938064
1118	scattered	2.606444
1119	enthusiasm	4.693468
1120	unit	2.959856
1121	tight	2.9878693
1122	256	3.0122542
1123	sperling	2.9904103
1124	violated	2.606444
1125	sides	3.0012438
1126	perhaps	2.8979826
1127	kingdom	2.9544437
1128	rosa	3.0594084
1129	technological	3.1110492
1130	resources	2.761305
1131	indulge	3.4124928
1132	aquarium	3.5691502
1133	pancetta	3.337951
1134	ignorant	2.606444
1135	mancuso	2.910753
1136	illegitimate	2.606444
1137	600	3.0172513
1138	received	3.6472394
1139	strengthening	3.8171537
1140	decry	2.606444
1141	stretch	3.0726678
1142	embassy	2.6653569
1143	reorganization	2.9297194
1144	modern	3.296134
1145	dawn	3.114216
1146	implication	2.6112776
1147	awaited	3.4124415
1148	within	2.9822268
1149	luard	3.030321
1150	round	3.4914823
1151	errors	2.606444
1152	downbeat	2.6177547
1153	fourths	3.018644
1154	airwaves	2.6067457
1155	3	3.0263655
1156	arunrob	3.030321
1157	lists	2.8818107
1158	chapel	3.0477695
1159	toyoo	3.030321
1160	drew	3.0377412
1161	exhaustively	2.6260436
1162	dishonest	2.606444
1163	mountains	3.349749
1164	reputable	3.1332207
1165	puzzles	3.235248
1166	eurovision	3.2694154
1167	hollow	2.606444
1168	comfortable	3.9417937
1169	drops	2.6068625
1170	traveled	3.5207057
1171	...)	3.030321
1172	function	3.0317793
1173	gleaned	2.9562762
1174	studied	3.0200315
1175	comics	3.2298865
1176	decline	2.606444
1177	featuring	3.994928
1178	angeles	3.2331033
1179	jeep	2.9968336
1180	congress	2.936717
1181	unserved	2.6078303
1182	weird	2.6249948
1183	republicans	2.606444
1184	deposition	2.6260946
1185	flux	2.8073072
1186	chamber	2.9327016
1187	alkene	3.0828369
1188	steelers	2.8375812
1189	adventure	4.2827654
1190	bleak	2.606444
1191	prostitution	2.9666183
1192	controlled	2.636915
1193	ink	2.8610198
1194	provision	2.999508
1195	rayburn	2.9314666
1196	protect	2.6150527
1197	weekly	3.3261027
1198	dudley	2.9930742
1199	correspondence	2.977584
1200	marcus	2.9909496
1201	sscp	3.030321
1202	perpetuate	2.606444
1203	.)	3.030321
1204	commercial	3.1688673
1205	objectives	2.9756675
1206	backwards	2.6320827
1207	illuminating	3.28369
