Word,Value,Freq,NN_Rank
thomas,1.9634755,4,248
cherish,1.957348,4,249
photographs,1.9566426,1,250
warmth,1.9564154,1,251
wilderness,1.9543728,17,252
familes,1.9519956,1,253
reclaim,1.945888,1,254
recover,1.9452654,7,255
mortality,1.9446758,1,256
encircle,1.9444057,1,257
pediatrics,1.943491,4,258
letters,1.940316,1,259
shelter,1.9400839,2,260
cleansing,1.9395003,2,261
meningitis,1.9388046,1,262
feelings,1.938211,27,263
capture,1.9373242,1,264
adoption,1.9318181,1,265
saddens,1.9305835,8,266
ravaged,1.928502,3,267
graves,1.927017,2,268
renewal,1.9247057,1,269
rhinos,1.9239198,7,270
deforestation,1.9234972,1,271
struggles,1.9231282,2,272
suicide,1.9214324,23,273
georges,1.9212705,1,274
fallen,1.9212084,6,275
afrikaans,1.9211704,1,276
refuges,1.9195402,1,277
cancer,1.9145513,19,278
unclasped,1.9133637,1,279
closure,1.9099871,4,280
rapids,1.9093786,1,281
mansour,1.9085768,1,282
aphasia,1.9079742,2,283
injured,1.9055842,32,284
beautiful,1.9051048,11,285
died,1.90202,67,286
opioid,1.9019189,8,287
compassionate,1.901846,1,288
upheaval,1.899936,1,289
friendship,1.898912,1,290
andrea,1.8989086,1,291
fortunate,1.896966,3,292
leonard,1.8944849,3,293
recuperate,1.8938671,1,294
enriched,1.892654,1,295
queensland,1.8918444,5,296
illinois,1.8893578,1,297
libya,1.8881493,1,298
comfort,1.8876659,2,299
ashore,1.8852785,1,300
pray,1.8845319,14,301
columbia,1.8829545,1,302
sweetest,1.8823323,1,303
glaciers,1.8818362,3,304
sacrifices,1.8804578,2,305
razed,1.8779663,1,306
afghanistan,1.8776753,11,307
safeguard,1.8751098,1,308
sacrament,1.8747333,1,309
june,1.8746674,2,310
83-year,1.8742608,1,311
arthur,1.8715247,2,312
dakota,1.8704476,3,313
saddest,1.8698448,1,314
protects,1.8686839,1,315
friendships,1.8683556,1,316
eagles,1.8680067,3,317
rubble,1.8674123,1,318
haitian,1.8666315,1,319
impacted,1.8655056,1,320
isil,1.863862,1,321
missionary,1.8620772,1,322
delicia,1.859675,1,323
inspirational,1.8595421,1,324
ordeal,1.8571211,4,325
grace,1.8567755,1,326
"1,600",1.8556191,1,327
guidance,1.854625,2,328
blankets,1.8541434,1,329
drowned,1.8523376,2,330
lesley,1.8512628,1,331
harambe,1.8510935,2,332
aerial,1.8509977,1,333
cried,1.8491222,1,334
overwhelmed,1.8482687,1,335
angelina,1.848139,2,336
conveyed,1.8471401,1,337
km2,1.8467835,1,338
mediterranean,1.8464653,4,339
eyesight,1.8462304,2,340
elder,1.8459334,2,341
children,1.8457332,161,342
cesarean,1.8453759,1,343
mother,1.8451128,36,344
crossings,1.8444585,3,345
transportation,1.842689,3,346
hearts,1.84088,3,347
safeguarding,1.8401426,1,348
helpless,1.840111,7,349
halstead,1.8395543,1,350
elton,1.8391893,1,351
cps,1.8391149,1,352
orphanages,1.8390591,1,353
cdc,1.8379986,1,354
noah,1.8355657,1,355
fathers,1.8338966,2,356
soul,1.833816,3,357
wound,1.8312223,1,358
wesley,1.8301003,1,359
journeyed,1.8286998,1,360
turmoil,1.826139,3,361
harvest,1.8209379,2,362
cmv,1.8207471,1,363
yemeni,1.8191991,2,364
poachers,1.8189473,15,365
assistance,1.8184566,12,366
unimaginable,1.8171744,1,367
babies,1.816022,13,368
airstrikes,1.8159673,8,369
jackie,1.8158302,1,370
homes,1.8152413,23,371
restitution,1.8141696,1,372
nato,1.8137373,3,373
legacy,1.8121878,2,374
distressing,1.8119775,8,375
biographical,1.8103933,1,376
sympathy,1.8087406,18,377
vaughn,1.8074665,1,378
justice,1.8046396,27,379
reconstruction,1.8040602,1,380
words,1.8026545,17,381
family,1.8024602,139,382
dolphins,1.8019217,1,383
adapted,1.8009841,1,384
mistreated,1.8002033,1,385
letter,1.8000875,3,386
adolph,1.7993526,1,387
fellings,1.7958195,1,388
amphibians,1.7937021,1,389
mallika,1.7916393,2,390
kelly,1.790395,3,391
kesha,1.7892079,1,392
preschoolers,1.7892036,8,393
ocean,1.7879412,1,394
scarred,1.7867686,1,395
survived,1.7863576,15,396
warplanes,1.781553,1,397
paris,1.779723,16,398
heartening,1.7793512,1,399
victims,1.7788876,30,400
haunting,1.7787719,1,401
transit,1.7774999,1,402
sympathize,1.7706847,3,403
cope,1.7696187,3,404
decompensating,1.7675205,1,405
victimized,1.7675028,2,406
humanitarian,1.767498,6,407
pneumonia,1.76697,1,408
births,1.7667273,1,409
kils,1.7662975,1,410
internment,1.7651794,1,411
enclosure,1.7643712,3,412
shelters,1.7636698,2,413
kenya,1.7628479,3,414
casualty,1.7622073,1,415
extinctions,1.7606027,1,416
grateful,1.7592033,12,417
endured,1.7565247,2,418
healer,1.756227,1,419
isis,1.7558266,31,420
courage,1.7557532,3,421
val,1.754103,8,422
toll,1.7536979,1,423
libyan,1.7515923,1,424
amanda,1.7443248,2,425
shores,1.7437363,1,426
marea,1.7436899,1,427
migrants,1.7431147,9,428
taylor,1.7423382,1,429
torn,1.7417924,11,430
father,1.7401321,26,431
salvage,1.7401085,2,432
minneapolis,1.7400322,1,433
sarah,1.7398953,1,434
protection,1.7383561,12,435
weighs,1.7381067,1,436
heals,1.7364645,1,437
injustice,1.7346551,1,438
bless,1.7345033,4,439
mary,1.733309,1,440
reemployed,1.7329565,1,441
leon,1.7310293,2,442
gofundme,1.7306092,1,443
wilson,1.7304778,1,444
lions,1.7304769,2,445
honor,1.7304345,5,446
heritage,1.7301474,5,447
floods,1.7300854,4,448
jama,1.7291467,4,449
migrant,1.7274069,2,450
rheumatism,1.7272884,1,451
communicate,1.7269392,4,452
conservation,1.7255701,5,453
brink,1.7241111,2,454
euthanize,1.7239447,1,455
san,1.7229812,1,456
evacuated,1.7225991,3,457
surround,1.7224991,1,458
recovered,1.7222271,3,459
preservation,1.7220834,1,460
assisting,1.7209847,1,461
burmese,1.7190609,1,462
passage,1.7188048,1,463
cleanse,1.7184675,1,464
captured,1.7177777,4,465
spiritual,1.71712,1,466
fishermen,1.7170266,2,467
photos,1.7157557,7,468
minister,1.7157452,1,469
deported,1.7156765,4,470
vividly,1.7145742,1,471
evacuate,1.7122033,4,472
brutalized,1.7117668,1,473
aches,1.7100179,1,474
happiness,1.7081447,2,475
relocation,1.7078878,1,476
billie,1.707386,1,477
genocide,1.7068622,3,478
vital,1.7059451,1,479
louisiana,1.7043684,2,480
abbasi,1.7013942,1,481
grandfather,1.6980377,1,482
2196,1.6978525,1,483
casualties,1.6975267,5,484
preserve,1.6959872,3,485
disease,1.695928,23,486
hospital,1.6943731,14,487
diagnosis,1.6932727,2,488
argentina,1.693059,1,489
12-year,1.6922755,1,490
grandparents,1.6921228,2,491
susan,1.6914513,1,492
river,1.6904379,9,493
rivers,1.6886411,5,494
breast,1.6883934,2,495
awww,1.6877387,1,496
liters,1.686796,2,497
heart,1.6860294,41,498
14-year,1.685093,1,499
extinction,1.684622,16,500
deaths,1.6843556,29,501
grandmother,1.6837991,3,502
aww,1.6837631,1,503
ecosystems,1.6828251,5,504
preventable,1.6817468,6,505
jane,1.6805452,1,506
daughters,1.6785012,3,507
ecological,1.6780316,2,508
janet,1.6775638,4,509
accidents,1.6768074,12,510
foster,1.6765497,4,511
protective,1.6761864,2,512
cry,1.6758952,5,513
wonderful,1.6738985,3,514
anchorage,1.6713933,1,515
rough,1.670927,3,516
sad,1.6696508,250,517
seventy,1.6692398,1,518
dies,1.6690712,7,519
district,1.6689681,3,520
empowerment,1.6685636,1,521
dearly,1.6679022,1,522
penned,1.6663804,1,523
baby,1.6663723,26,524
micheal,1.6650422,1,525
neighborhoods,1.664744,4,526
inspiring,1.6644024,3,527
siblings,1.6642008,2,528
reef,1.6633477,5,529
barbarity,1.6630362,1,530
daughter,1.6607727,12,531
wildlife,1.6601385,21,532
midst,1.6599507,5,533
protections,1.6586798,2,534
counselling,1.6564364,1,535
somali,1.655154,3,536
daca,1.6549153,2,537
ruptured,1.6547897,3,538
crushed,1.6521411,6,539
filippo,1.6514518,1,540
dying,1.6509882,39,541
nicholas,1.6509339,2,542
epa,1.6496582,3,543
coping,1.6496232,1,544
alexander,1.6489644,2,545
murdered,1.6476321,12,546
brim,1.6463149,1,547
sons,1.6454268,3,548
douglas,1.6448689,3,549
rocky,1.6443633,1,550
brave,1.6425856,6,551
sickness,1.6414515,2,552
salines,1.6411022,1,553
cocunut,1.6402411,3,554
disenfranchised,1.6386511,1,555
abuja,1.6385612,1,556
vera,1.6380491,1,557
modernize,1.6342732,1,558
burned,1.6336681,6,559
matthew,1.6329141,3,560
mercy,1.6322634,1,561
palmer,1.6322292,4,562
preserved,1.6322236,3,563
peace,1.6314719,21,564
assist,1.6302226,3,565
birth,1.6298144,24,566
funeral,1.6294532,1,567
typhoon,1.6289413,5,568
darrell,1.628778,1,569
crowe,1.6239061,1,570
springer,1.6233859,1,571
deppression,1.6227367,1,572
reema,1.6211903,1,573
crying,1.6190099,4,574
volunteer,1.618214,3,575
nurturing,1.6164865,1,576
oppressed,1.6162838,2,577
africa,1.616133,12,578
opioids,1.6161125,6,579
trafficking,1.6160989,1,580
22-year,1.6150815,1,581
vietnam,1.6150687,3,582
relaying,1.6146626,1,583
relatives,1.6145182,7,584
waters,1.6143662,4,585
u.s,1.6131212,24,586
jungle,1.6129255,13,587
tsunami,1.6107321,1,588
november,1.6094754,6,589
burnt,1.6083007,1,590
depression,1.6077474,14,591
sentimental,1.6071405,1,592
jerry,1.6065692,1,593
rebuilding,1.6058159,1,594
farsightedness,1.604383,1,595
artic,1.6040375,1,596
painful,1.60279,8,597
emotion,1.6018298,9,598
brazil,1.6017747,11,599
moldova,1.6013477,1,600
sicknesses,1.6012002,5,601
poverty,1.6010826,7,602
reminder,1.6009451,3,603
holocaust,1.6009109,3,604
lives,1.600033,121,605
misfortunes,1.5975131,1,606
jolie,1.595894,2,607
sudan,1.5954913,3,608
cohen,1.5946171,6,609
inquest,1.5928218,1,610
kubra,1.591753,1,611
nile,1.5913262,1,612
doherty,1.5911901,5,613
g.,1.5911597,1,614
"1,800",1.59109,1,615
illnesses,1.5907091,3,616
fasciitis,1.5906568,1,617
georgia,1.5900686,3,618
images,1.5890794,5,619
naval,1.5886649,1,620
pain,1.5885651,25,621
yellowing,1.5871459,1,622
pleads,1.5865507,1,623
comfrey,1.5860722,1,624
experiences,1.5843666,6,625
truths,1.5842688,1,626
fleeing,1.5824577,10,627
measles,1.581234,1,628
ww2,1.580487,1,629
decimated,1.5796683,2,630
forest,1.5789604,13,631
paws,1.5788703,1,632
distillation,1.5788438,1,633
revengeful,1.5778177,2,634
beaches,1.5773888,2,635
williams,1.577062,1,636
starvation,1.5760095,1,637
help,1.5759846,174,638
persecuted,1.5755954,1,639
solider,1.5742776,1,640
"180,000",1.5729206,1,641
brunt,1.5717676,1,642
shannen,1.5701977,3,643
strength,1.570085,4,644
16-year,1.5699877,5,645
trials,1.5684099,2,646
lakes,1.5671871,4,647
abducted,1.5650105,2,648
iconic,1.5649157,2,649
injuries,1.564489,20,650
survival,1.5627456,5,651
"18,000",1.5626054,1,652
bears,1.5624188,12,653
suffered,1.5619538,5,654
son,1.5613271,25,655
arduous,1.5602434,1,656
soonest,1.560004,1,657
persevere,1.5582743,1,658
maia,1.5575728,1,659
stolen,1.5567,2,660
convoy,1.5561283,3,661
ca,1.5556133,200,662
alzheimer,1.5555998,1,663
boating,1.555333,1,664
surgeries,1.5549133,2,665
insha,1.5546756,1,666
meanings,1.5540771,1,667
agonizing,1.552923,1,668
aid,1.5525472,17,669
chartered,1.551445,1,670
opiod,1.5512407,1,671
wrecks,1.5502497,2,672
exiled,1.5496335,1,673
contact,1.5491343,6,674
darkness,1.5488732,1,675
"13,000",1.5487224,4,676
megyn,1.5485461,1,677
donated,1.5483704,2,678
palmers,1.5482616,1,679
communities,1.547797,7,680
brutality,1.5475609,1,681
sweet,1.5474412,1,682
frienda,1.5473657,1,683
hails,1.5468335,1,684
love,1.5446112,43,685
jordanian,1.544584,2,686
kidnapped,1.5445611,2,687
betty,1.5435598,2,688
passengers,1.5432512,3,689
porpoises,1.5414009,1,690
photo,1.5413094,6,691
counseling,1.5409148,3,692
glacier,1.5406338,1,693
valuable,1.5392005,1,694
kitten,1.539155,7,695
sacramento,1.5385263,1,696
paints,1.5385188,1,697
alaska,1.5379834,4,698
iraqi,1.5379052,14,699
marginalized,1.5370104,1,700
hrw,1.5364323,1,701
lsot,1.5360677,1,702
thankful,1.5356996,5,703
colonization,1.5336593,1,704
ahold,1.5331308,1,705
veterinarians,1.5326393,2,706
tumor,1.5320106,1,707
possessions,1.5315067,1,708
beverly,1.5307844,1,709
polar,1.5305228,19,710
mercury,1.5303059,1,711
ivory,1.5294752,11,712
sister,1.5291765,4,713
di,1.5290892,1,714
untimely,1.528041,2,715
bonobos,1.5255961,2,716
shells,1.5255443,1,717
veterans,1.5248339,3,718
protected,1.5244937,11,719
express,1.5237532,5,720
majesty,1.5231878,1,721
oppression,1.522928,1,722
survive,1.5223281,17,723
biological,1.5217525,3,724
pounds,1.5214443,4,725
lyrics,1.5211089,2,726
pennsylvania,1.5210838,3,727
defenseless,1.520407,7,728
shield,1.520076,1,729
snorkeling,1.5189342,1,730
cruelty,1.5187198,4,731
hameed,1.5185711,1,732
oct,1.5175499,4,733
recount,1.5174577,3,734
deepest,1.5163745,2,735
erving,1.5163372,1,736
protecting,1.5149091,10,737
walsh,1.5138125,1,738
fishes,1.51331,1,739
microcephaly,1.5128394,1,740
ceasefire,1.5120733,2,741
reproduction,1.511593,1,742
overcoming,1.5101349,1,743
tigers,1.5086298,6,744
brother,1.5085227,4,745
10-month,1.5082868,1,746
sing,1.5073845,2,747
pruitt,1.5073776,1,748
privileged,1.5073622,1,749
relate,1.5072657,2,750
salmon,1.5066277,1,751
life,1.5065134,208,752
indigenous,1.5064616,4,753
slager,1.5058476,1,754
pathways,1.5053694,1,755
brothers,1.5041983,2,756
14,1.5038073,4,757
befell,1.5034086,1,758
deceased,1.5025468,1,759
moore,1.5020627,7,760
spirit,1.4999416,4,761
funerals,1.4988055,1,762
stunning,1.4987931,1,763
colors,1.4985564,1,764
anniversary,1.4980991,1,765
sung,1.4980588,1,766
grandchildren,1.4972286,4,767
compose,1.4967314,1,768
insight,1.494333,1,769
shed,1.4940556,2,770
translates,1.4932814,1,771
primal,1.4926395,2,772
witnessing,1.4926057,2,773
safely,1.4921916,5,774
reach,1.4904559,15,775
"350,000",1.4901042,1,776
complications,1.4895236,2,777
guardians,1.4885042,1,778
mangled,1.4866433,1,779
franco,1.4861455,1,780
village,1.4849536,3,781
rhinoceros,1.4848366,1,782
disabilities,1.4836931,1,783
tormented,1.4833388,1,784
volunteering,1.4825308,1,785
helpa,1.4818283,1,786
plea,1.4818273,1,787
transforming,1.4817321,1,788
destroyed,1.4815891,19,789
spills,1.4814999,1,790
nigeria,1.4808509,5,791
engulfed,1.4800069,1,792
flood,1.4778285,1,793
approx,1.4774642,1,794
destruction,1.477163,7,795
gunfire,1.476641,1,796
geneva,1.476587,3,797
nurse,1.47645,1,798
beaching,1.4727075,1,799
affection,1.4723884,1,800
thriving,1.4722941,1,801
therapy,1.470731,8,802
aircraft,1.46943,4,803
washington,1.4693723,4,804
deeds,1.4687791,1,805
hazing,1.4666266,1,806
birds,1.466197,14,807
samuel,1.4661809,1,808
sharks,1.4659469,4,809
child,1.4647279,60,810
childrens,1.4642972,1,811
asylum,1.4633013,1,812
lgbt,1.4630015,3,813
majestic,1.461642,3,814
incredible,1.459964,5,815
earthquake,1.459954,19,816
13,1.4595823,4,817
17,1.4595659,1,818
kilmer,1.459433,4,819
struggle,1.4594004,13,820
22,1.4590601,1,821
referrals,1.4586151,1,822
rhino,1.4580964,19,823
deciduous,1.4576991,1,824
excerpt,1.4566189,1,825
aged,1.4565,1,826
sustain,1.4558092,2,827
busch,1.453773,3,828
collins,1.4536884,1,829
deployed,1.4524395,3,830
"400,000",1.4521495,1,831
assimilate,1.4520067,2,832
health,1.4517663,72,833
documents,1.4509348,3,834
crews,1.4500356,4,835
shelled,1.4499003,4,836
sacrifice,1.4486408,1,837
condition,1.4482152,11,838
olden,1.4481155,1,839
compensation,1.4474118,1,840
storms,1.4473383,1,841
pregnancy,1.4471549,2,842
appalachia,1.4448935,2,843
bear,1.4445368,14,844
roberts,1.4444512,2,845
insensitive,1.4437058,1,846
metoo,1.4435258,1,847
tulsa,1.442905,1,848
duty,1.4417499,3,849
fatalities,1.4414234,1,850
carey,1.4410162,3,851
robin,1.440913,1,852
turtle,1.4398434,5,853
70000,1.4386237,1,854
drought,1.4378688,4,855
support,1.4378536,41,856
struggling,1.437742,6,857
detroit,1.4377284,1,858
earthly,1.4373369,1,859
fire,1.4368355,28,860
disappearance,1.4368272,2,861
remorse,1.4366914,3,862
flooded,1.4349803,3,863
renewed,1.4341228,1,864
mission,1.4340724,4,865
receives,1.4337558,3,866
immigrate,1.4331187,1,867
lungs,1.4326085,4,868
polluted,1.4318887,3,869
michael,1.4318752,11,870
homicide,1.4318523,1,871
carries,1.4315436,1,872
helicopter,1.4308143,1,873
gandhi,1.4287747,1,874
tweeted,1.4283283,1,875
impacts,1.4277878,3,876
crisis,1.4268038,19,877
bravely,1.426444,1,878
acres,1.4260957,3,879
praying,1.4260287,2,880
divorce,1.4246812,5,881
boats,1.4226345,5,882
liberate,1.4214253,1,883
respiratory,1.4210166,2,884
soldier,1.4206425,1,885
patients,1.4203539,10,886
"1,200-calorie",1.4197869,1,887
interred,1.4197044,1,888
bombings,1.4196997,1,889
animals,1.4194854,143,890
revenge,1.4193892,2,891
pesticides,1.4191849,1,892
raw,1.4186554,4,893
haitians,1.4176528,3,894
zoo,1.4161862,17,895
hun,1.416075,1,896
killed,1.4158514,114,897
home,1.4152107,46,898
difficult,1.414718,26,899
pregnant,1.4140168,7,900
lake,1.4135809,1,901
hopeful,1.4126854,4,902
gentle,1.4124153,1,903
uprising,1.4119154,1,904
cheeks,1.4116743,1,905
boat,1.4105806,8,906
rothschild,1.4096103,1,907
soldiers,1.4094808,14,908
slaughter,1.4088581,2,909
los,1.4081498,3,910
obtain,1.4077859,3,911
sent,1.4075661,9,912
keith,1.4069551,1,913
troops,1.4065125,10,914
endure,1.4057376,11,915
land,1.4056714,35,916
disoriented,1.4055322,1,917
immigrant,1.4021584,4,918
sting,1.4016376,1,919
buffalo,1.3998263,1,920
injury,1.3996166,4,921
19,1.3994269,8,922
overcome,1.3985672,4,923
civilians,1.3981812,19,924
imperfect,1.3972331,2,925
toxicology,1.3970668,1,926
"8,000",1.3968377,2,927
duterte,1.3963237,4,928
sinking,1.3953184,1,929
circumstances,1.395283,9,930
uncle,1.3949387,2,931
coco,1.3942292,1,932
opportunities,1.3939883,3,933
away.the,1.3937076,1,934
death,1.3931293,51,935
aare,1.3930516,1,936
tribal,1.392849,1,937
losing,1.3927481,22,938
dengue,1.3925235,1,939
gallons,1.3922472,3,940
daily,1.3917,11,941
cardiac,1.3912895,1,942
tornado,1.3904109,1,943
awaiting,1.3895261,1,944
enclosed,1.3890834,1,945
consulate,1.3889596,3,946
expresses,1.388772,1,947
18-year,1.3872855,1,948
mercutio,1.3871728,1,949
rodrigo,1.3862379,1,950
26,1.3855402,2,951
deserts,1.3853776,1,952
responsibilities,1.3852854,4,953
cohan,1.3852524,1,954
neglect,1.3852453,3,955
autism,1.3847136,1,956
identify,1.3845216,4,957
send,1.3845158,12,958
istanbul,1.384377,1,959
transgender,1.3842753,3,960
mined,1.3838007,1,961
sixteen,1.3835968,1,962
turtles,1.3833611,10,963
immediate,1.3831031,4,964
sunlight,1.3828137,1,965
surrounded,1.3827026,1,966
assisted,1.3826352,2,967
marlins,1.3824711,1,968
aquatic,1.3818519,3,969
portrays,1.3814445,1,970
newly,1.3803334,1,971
donation,1.3801409,4,972
fr,1.3794208,1,973
fate,1.3778707,4,974
sickens,1.3778269,2,975
sista,1.3771832,1,976
critically,1.3768349,5,977
dire,1.3761861,3,978
generations,1.3754485,13,979
terry,1.3740118,1,980
colonialism,1.3737228,1,981
relea,1.3734758,1,982
andres,1.3734583,1,983
flamingo,1.3720193,4,984
parents,1.3713058,53,985
describes,1.3696427,1,986
relief,1.3689742,6,987
18,1.3688455,2,988
gorgeous,1.3687017,2,989
wreck,1.3678434,5,990
repossessed,1.367075,1,991
noble,1.3664014,1,992
information,1.3658533,34,993
helicopters,1.3657824,1,994
sang,1.3654064,1,995
evaluation,1.3653111,1,996
presidency,1.3650045,5,997
firemen,1.3647032,1,998
tug,1.3643885,1,999
poland,1.3637028,1,1000
nurses,1.3635471,1,1001
loosing,1.363249,1,1002
anonimus,1.3628609,1,1003
adapt,1.3612981,4,1004
songs,1.3605728,3,1005
”,1.3600826,52,1006
commissioned,1.3598343,1,1007
predators,1.3594031,1,1008
assimilation,1.3593919,1,1009
